,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7
ignor,1.264440862985947E-7,9.328676706686069E-8,5.428694799538388E-8,1.901996221113908E-7,1.8279416974339722E-7,9.882161009865562E-4,1.5300734404649956E-7,1.60923314812227E-4,1.5843255700324187E-7,3.0058608274413453E-7,3.8928167409805384E-7,1.8685183434314294E-7,0.0012641996028365926,2.0861495309447596E-4,3.708051737704286E-7,1.8954349208106246E-7
natur,1.264440862985947E-7,5.59813889168231E-4,5.429237669018341E-4,0.00209238604284741,3.657711336565378E-4,1.9760369945741976E-7,1.5300734404649956E-7,3.7541623692116004E-4,7.923212175732125E-4,6.014727515710131E-4,3.8928167409805384E-7,1.8685183434314294E-7,4.212594477962655E-7,1.0425534887280159E-7,3.708051737704286E-7,1.8954349208106246E-7
yellow,1.264440862985947E-7,4.665271221013703E-4,2.172020789295309E-4,1.901996221113908E-7,1.8279416974339722E-7,1.9760369945741976E-7,1.5300734404649956E-7,5.3676853757760485E-5,1.5843255700324187E-7,3.0088666882687864E-4,3.8928167409805384E-7,1.8685183434314294E-7,4.212594477962655E-7,1.0425534887280159E-7,3.708051737704286E-7,1.8954349208106246E-7
compress,1.264440862985947E-7,1.866668209007882E-4,5.428694799538388E-8,1.901996221113908E-7,1.8279416974339722E-7,1.9780130315687715E-4,1.5300734404649956E-7,1.60923314812227E-4,6.338886605699707E-4,3.0058608274413453E-7,3.8928167409805384E-7,1.8685183434314294E-7,8.429401550403272E-4,1.0425534887280159E-7,3.708051737704286E-7,1.8954349208106246E-7
dedic,1.264440862985947E-7,3.732403550345096E-4,2.172020789295309E-4,1.901996221113908E-7,1.8279416974339722E-7,1.9760369945741976E-7,9.181970716230438E-4,5.89909159030093E-4,1.5859098956024506E-4,0.0012026449170592824,3.8928167409805384E-7,1.8685183434314294E-7,4.212594477962655E-7,1.0425534887280159E-7,3.708051737704286E-7,1.8973303557314348E-4
lose,3.794587029820826E-4,9.328676706686069E-8,2.172020789295309E-4,1.9038982173350216E-4,1.8279416974339722E-7,1.9760369945741976E-7,1.5300734404649956E-7,3.7541623692116004E-4,1.5843255700324187E-7,3.0058608274413453E-7,3.8928167409805384E-7,1.8685183434314294E-7,4.212594477962655E-7,8.341470463312854E-4,3.708051737704286E-7,0.001137450495978456
integr,0.001011679134475056,3.732403550345096E-4,2.714890269249148E-4,1.901996221113908E-7,1.8279416974339722E-7,1.9760369945741976E-7,1.5300734404649956E-7,6.435323895573263E-4,1.5843255700324187E-7,3.0058608274413453E-7,3.8928167409805384E-7,1.8685183434314294E-7,4.212594477962655E-7,1.0425534887280159E-7,3.708051737704286E-7,1.8954349208106246E-7
indic,1.264440862985947E-7,1.866668209007882E-4,5.428694799538388E-8,1.901996221113908E-7,3.657711336565378E-4,1.9760369945741976E-7,4.591750394835451E-4,1.0730008428499374E-4,1.5843255700324187E-7,3.0058608274413453E-7,3.8967095577215185E-4,0.0014950015265794865,4.212594477962655E-7,0.00114691309294969,3.71175978944199E-4,9.479070038973934E-4
method,1.264440862985947E-7,2.799535879676489E-4,2.172020789295309E-4,1.901996221113908E-7,1.8279416974339722E-7,1.9760369945741976E-7,1.5300734404649956E-7,1.60923314812227E-4,1.5843255700324187E-7,3.0058608274413453E-7,3.8928167409805384E-7,3.7389052052062897E-4,4.212594477962655E-7,1.0425534887280159E-7,3.708051737704286E-7,1.8973303557314348E-4
bulb,1.264440862985947E-7,9.328676706686069E-8,3.8006292291568254E-4,1.901996221113908E-7,1.8279416974339722E-7,1.9780130315687715E-4,1.5300734404649956E-7,5.362323052723326E-8,1.5843255700324187E-7,3.0058608274413453E-7,7.789526298702058E-4,1.8685183434314294E-7,4.212594477962655E-7,1.0425534887280159E-7,3.708051737704286E-7,1.8954349208106246E-7
consol,1.264440862985947E-7,0.0017725418610374198,2.172020789295309E-4,1.901996221113908E-7,1.8279416974339722E-7,1.9760369945741976E-7,6.121823835300447E-4,5.362323052723326E-8,1.5843255700324187E-7,3.0088666882687864E-4,3.8928167409805384E-7,1.8703868617748605E-4,4.212594477962655E-7,1.0425534887280159E-7,3.708051737704286E-7,3.792765276542059E-4
higher,0.001011679134475056,8.396741903688129E-4,0.001085793246855673,3.8058944384489294E-4,3.657711336565378E-4,0.0017786308988162352,1.5300734404649956E-7,2.1454654533946028E-4,0.0011091863315796963,3.0058608274413453E-7,3.8928167409805384E-7,0.0011212978578932008,4.216807072440617E-4,5.213809997128807E-4,3.708051737704286E-7,1.8954349208106246E-7
startup,1.264440862985947E-7,3.732403550345096E-4,5.428694799538388E-8,1.901996221113908E-7,1.8279416974339722E-7,1.9760369945741976E-7,1.5300734404649956E-7,2.6816977586669355E-4,4.754561035667288E-4,3.0088666882687864E-4,3.8928167409805384E-7,1.8685183434314294E-7,4.212594477962655E-7,1.0425534887280159E-7,3.708051737704286E-7,1.8954349208106246E-7
ft,7.587909618778667E-4,1.866668209007882E-4,1.62915130934147E-4,1.901996221113908E-7,1.8279416974339722E-7,1.9760369945741976E-7,1.5300734404649956E-7,5.362323052723326E-8,1.5843255700324187E-7,3.0058608274413453E-7,3.8928167409805384E-7,1.8685183434314294E-7,4.216807072440617E-4,1.0425534887280159E-7,3.708051737704286E-7,5.688200197352684E-4
basic,6.323468755792721E-4,7.463874233019522E-4,0.0012486540908418246,1.901996221113908E-7,1.8279416974339722E-7,0.0013834234999013958,3.0616769543704555E-4,0.0017696202306292247,0.0011091863315796963,3.0088666882687864E-4,3.8967095577215185E-4,7.47594189206915E-4,4.212594477962655E-7,0.00114691309294969,7.419811527146276E-4,3.792765276542059E-4
degre,1.264440862985947E-7,9.328676706686069E-8,7.057846108879858E-4,1.901996221113908E-7,1.8279416974339722E-7,1.9760369945741976E-7,4.591750394835451E-4,5.362323052723326E-8,0.002535079344608873,0.0015032309998034169,3.8967095577215185E-4,9.344460235500579E-4,4.212594477962655E-7,2.0861495309447596E-4,3.71175978944199E-4,1.8954349208106246E-7
pop,1.264440862985947E-7,9.328676706686069E-8,7.600715588833697E-4,7.609886880676747E-4,1.8279416974339722E-7,5.930087020717166E-4,1.5300734404649956E-7,0.0010725182337751925,0.0011091863315796963,0.006012022240965435,3.8928167409805384E-7,5.60742354863772E-4,4.212594477962655E-7,1.0425534887280159E-7,3.708051737704286E-7,5.688200197352684E-4
plan,0.001011679134475056,3.732403550345096E-4,8.686454548741375E-4,1.901996221113908E-7,1.8279416974339722E-7,1.9780130315687715E-4,0.0015302264478090418,2.6816977586669355E-4,1.5843255700324187E-7,3.0058608274413453E-7,3.8928167409805384E-7,0.0013081496922363438,4.216807072440617E-4,0.0010426577440768886,0.006304058759271057,1.8954349208106246E-7
happi,0.002920858393497537,0.0018750640180438998,0.004999827910374855,0.004774010514995909,0.008061222885683816,0.005157456555838656,0.004758528399846136,0.0016140592388697212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
static,1.264440862985947E-7,9.338005383392753E-5,5.428694799538388E-8,1.901996221113908E-7,1.8279416974339722E-7,1.9760369945741976E-7,1.5300734404649956E-7,2.6816977586669355E-4,1.5843255700324187E-7,3.0058608274413453E-7,3.8928167409805384E-7,7.47594189206915E-4,4.212594477962655E-7,1.0425534887280159E-7,3.708051737704286E-7,5.688200197352684E-4
hear,0.0022761199974610027,9.328676706686069E-8,3.2577597492029867E-4,1.9038982173350216E-4,1.8279416974339722E-7,1.9760369945741976E-7,1.5300734404649956E-7,4.290394674483933E-4,0.002376646787605631,0.002104403165291686,3.8928167409805384E-7,1.8685183434314294E-7,4.212594477962655E-7,8.341470463312854E-4,3.708051737704286E-7,1.8954349208106246E-7
engin,1.264440862985947E-7,5.59813889168231E-4,3.2577597492029867E-4,1.901996221113908E-7,1.8279416974339722E-7,1.9760369945741976E-7,1.5300734404649956E-7,3.217930063939268E-4,1.5843255700324187E-7,3.0058608274413453E-7,3.8928167409805384E-7,1.8703868617748605E-4,4.212594477962655E-7,2.0861495309447596E-4,3.708051737704286E-7,1.8954349208106246E-7
stink,1.264440862985947E-7,9.328676706686069E-8,5.428694799538388E-8,1.901996221113908E-7,1.8279416974339722E-7,1.9760369945741976E-7,1.5300734404649956E-7,3.217930063939268E-4,1.5859098956024506E-4,0.0012026449170592824,3.8928167409805384E-7,1.8685183434314294E-7,4.212594477962655E-7,1.0425534887280159E-7,3.708051737704286E-7,1.8954349208106246E-7
