,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7
meet,8.686550934590358E-8,7.000326005182061E-8,1.601101346433792E-4,7.10123931538656E-8,1.6518008034745535E-4,5.106967765846881E-4,5.181146279701464E-5,4.5147572530912435E-4,8.33593900893521E-8,0.0015424360773889974,1.9233546998806945E-7,1.6629494583611252E-4,2.1573814049687517E-7,1.2560843154133227E-7,1.244052031729796E-7,6.172440220903064E-5
photograph,8.686550934590358E-8,7.000326005182061E-8,4.0017529278525166E-8,7.10123931538656E-8,3.716035749081343E-4,5.106457120134868E-8,5.175970309392073E-8,1.1284072114699433E-7,8.33593900893521E-8,1.9278041212210943E-7,1.925278054580575E-4,5.541317755285323E-8,6.474301596311223E-4,1.257340399728736E-4,1.244052031729796E-7,6.166273946956109E-8
faint,8.686550934590358E-8,7.000326005182061E-8,4.0017529278525166E-8,7.10123931538656E-8,2.4774947817172695E-4,5.106457120134868E-8,5.175970309392073E-8,1.1284072114699433E-7,8.33593900893521E-8,1.9278041212210943E-7,1.9233546998806945E-7,5.541317755285323E-8,6.474301596311223E-4,1.2560843154133227E-7,1.244052031729796E-7,6.166273946956109E-8
descript,8.686550934590358E-8,7.000326005182061E-8,4.0017529278525166E-8,7.108340554701945E-5,2.8903417708386274E-4,2.0430934937659608E-4,4.658890875483804E-4,1.1284072114699433E-7,1.6680213956879353E-4,1.9278041212210943E-7,1.9233546998806945E-7,2.77121300941819E-4,2.1573814049687517E-7,1.2560843154133227E-7,1.2452960837615256E-4,3.700380995568361E-4
action,2.6068339354705665E-4,7.000326005182061E-8,0.0012806009544420838,6.391825507779443E-4,8.261068252318373E-5,5.1115635772550025E-5,3.106099782666183E-4,1.1284072114699433E-7,3.3352091974749775E-4,1.9278041212210943E-7,1.9233546998806945E-7,5.541317755285323E-8,6.474301596311223E-4,0.0013818183553861963,1.244052031729796E-7,3.08375360087275E-4
stuff,8.687419589683816E-4,5.600960836746167E-4,0.0011605483666065084,3.551329781624819E-4,3.303188759959985E-4,3.064384917792934E-4,6.729278999240634E-4,3.3863500416212995E-4,6.669584801049061E-4,0.0034702401986100922,1.9233546998806945E-7,6.096003662589383E-4,2.1573814049687517E-7,1.2560843154133227E-7,1.244052031729796E-7,2.467126206177139E-4
zone,9.556074683142852E-4,1.4007652336369303E-4,4.0017529278525166E-8,7.10123931538656E-8,0.0011972975531508504,5.106457120134868E-8,5.175970309392073E-8,1.1284072114699433E-7,8.33593900893521E-8,1.9278041212210943E-7,1.9233546998806945E-7,5.541317755285323E-8,2.15953878637372E-4,1.2560843154133227E-7,1.244052031729796E-7,6.166273946956109E-8
age,8.686550934590358E-8,7.000326005182061E-8,4.0017529278525166E-8,7.108340554701945E-5,2.0646477925959116E-4,5.106457120134868E-8,1.0357116589093536E-4,1.1284072114699433E-7,8.33593900893521E-8,3.8575360465634097E-4,1.9233546998806945E-7,5.541317755285323E-8,2.1573814049687517E-7,1.2560843154133227E-7,1.244052031729796E-7,5.550263179655193E-4
wave,8.686550934590358E-8,7.000326005182061E-8,1.2009260536485402E-4,7.10123931538656E-8,4.12846989121358E-8,5.106457120134868E-8,2.588502751726976E-4,1.1284072114699433E-7,8.33593900893521E-8,5.785340167784504E-4,1.9233546998806945E-7,5.541317755285323E-8,2.1573814049687517E-7,3.7695090305553815E-4,1.244052031729796E-7,6.166273946956109E-8
identifi,8.695237485524947E-5,7.000326005182061E-8,4.0017529278525166E-8,7.10123931538656E-8,4.954576716445417E-4,5.106457120134868E-8,5.175970309392073E-8,1.1284072114699433E-7,8.33593900893521E-8,1.9278041212210943E-7,1.9233546998806945E-7,1.6629494583611252E-4,2.15953878637372E-4,1.2560843154133227E-7,1.244052031729796E-7,0.0016032928889480578
