,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14
webpag,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,3.5666868830425017E-4,3.918792588794081E-4,1.395484296545437E-7,7.046774346966334E-5,2.1127187144032752E-4,7.180274602106266E-5,1.706201924561647E-7,1.0339729184541977E-4,2.651836887634511E-7,8.438127137430343E-8,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.730965023731567E-4,3.304504381317016E-4,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,4.2514528596143485E-8,2.0257796668848433E-7,8.745561955266276E-8,4.247178800070614E-4,3.3351443166973E-7
saver,0.0010613392994141943,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,2.61296366883604E-4,1.396879780841982E-4,3.521626360303016E-8,2.1106081062969783E-7,5.021888360574023E-4,1.706201924561647E-7,3.4454279188743675E-8,2.651836887634511E-7,8.438127137430343E-8,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.730965023731567E-4,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,4.2514528596143485E-8,2.0257796668848433E-7,8.745561955266276E-8,3.1856494823823817E-4,3.3384794610139966E-4
rich,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,7.836279348668205E-4,1.395484296545437E-7,3.521626360303016E-8,2.1106081062969783E-7,2.1526477603317588E-4,1.706201924561647E-7,3.790315253553692E-4,2.651836887634511E-7,8.438127137430343E-8,2.1127187144032752E-4,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,3.304504381317016E-4,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,4.2514528596143485E-8,2.0257796668848433E-7,8.745561955266276E-8,1.0615293176882313E-7,3.3351443166973E-7
elimin,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.395484296545437E-7,2.817653250878443E-4,2.1106081062969783E-7,7.180274602106266E-5,1.706201924561647E-7,3.4454279188743675E-8,2.651836887634511E-7,8.446565264567772E-5,2.1127187144032752E-4,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,2.5512968610545705E-4,2.0257796668848433E-7,2.6245431427754097E-4,1.0615293176882313E-7,3.3384794610139966E-4
articl,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,4.7551863442362715E-4,1.3058289199580412E-7,1.395484296545437E-7,2.817653250878443E-4,2.1106081062969783E-7,7.173101500605661E-8,1.706201924561647E-7,1.0339729184541977E-4,2.651836887634511E-7,8.438127137430343E-8,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,4.003405894565246E-4,2.728236786944623E-7,1.6514264774197982E-7,1.6027256593653432E-7,2.3012244100913004E-4,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,8.50715717208831E-5,2.0257796668848433E-7,8.745561955266276E-8,1.0625908470059193E-4,3.3351443166973E-7
peel,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,3.918792588794081E-4,1.395484296545437E-7,3.521978522939046E-4,2.1106081062969783E-7,7.173101500605661E-8,1.706201924561647E-7,6.894301265667609E-5,2.651836887634511E-7,8.438127137430343E-8,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6530779038972175E-4,1.6027256593653432E-7,8.051410342353421E-4,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,4.2514528596143485E-8,2.0257796668848433E-7,8.745561955266276E-8,1.0615293176882313E-7,3.3351443166973E-7
nabi,6.368884698144365E-4,7.76662143685861E-4,0.0011284707810529742,2.3781874218487323E-4,5.224621508752123E-4,8.374301263569167E-4,7.046774346966334E-5,8.444543033294212E-4,2.869957910392325E-4,5.120311975609503E-4,6.894301265667609E-5,0.0015913673162694702,8.438127137430343E-8,2.1127187144032752E-4,7.698877185079109E-4,1.751417362057511E-4,4.537033279059743E-4,3.9994064880771695E-7,2.728236786944623E-7,1.6530779038972175E-4,4.809779703755394E-4,2.3012244100913004E-4,4.685775545028757E-4,3.3997074417592074E-4,6.056557921706986E-4,8.50715717208831E-5,2.0278054465517278E-4,8.754307517221542E-5,1.0625908470059193E-4,0.0010008768094408595
profil,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,2.61296366883604E-4,1.395484296545437E-7,2.11332797881784E-4,2.1106081062969783E-7,7.173101500605661E-8,1.706201924561647E-7,2.067601294116508E-4,2.651836887634511E-7,1.6884692401998114E-4,2.1106081062969783E-7,2.5680026865258874E-4,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,1.6514264774197982E-7,1.6027256593653432E-7,1.1500371864524241E-7,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,2.9764421470160053E-4,2.0257796668848433E-7,2.6245431427754097E-4,1.0615293176882313E-7,3.3351443166973E-7
bet,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.395484296545437E-7,1.7611653427875384E-4,2.1106081062969783E-7,7.173101500605661E-8,1.706201924561647E-7,2.4121440860039447E-4,2.651836887634511E-7,8.438127137430343E-8,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,3.9994064880771695E-7,2.728236786944623E-7,6.607357336156612E-4,1.6027256593653432E-7,2.3012244100913004E-4,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,4.2514528596143485E-8,2.0257796668848433E-7,1.7499869472487818E-4,1.0615293176882313E-7,3.3351443166973E-7
deep,2.122254147998789E-7,2.588011141905568E-7,1.6118708485258878E-7,1.1884994611937693E-7,1.3058289199580412E-7,1.395484296545437E-7,3.521626360303016E-8,4.2233268207002533E-4,7.173101500605661E-8,1.706201924561647E-7,3.4454279188743675E-8,7.958162499791168E-4,8.446565264567772E-5,2.1106081062969783E-7,2.5654372492766106E-7,1.7496676943631481E-7,2.2673829480558438E-7,8.002812382642415E-4,2.728236786944623E-7,6.607357336156612E-4,1.6027256593653432E-7,5.751335969448573E-4,2.34171691405735E-7,3.396311130628579E-7,8.650989746760443E-8,4.2514528596143485E-8,2.0257796668848433E-7,1.7499869472487818E-4,1.0625908470059193E-4,3.3351443166973E-7
