,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14
pencil,4.807370234761442E-4,1.4855280599166946E-7,1.5801250605780445E-7,9.399721561447908E-8,2.3134155197330872E-7,1.6678861694375538E-7,3.008773885527587E-7,2.576912462025974E-7,4.4539781191925496E-4,3.48600525759313E-7,1.8437893706649055E-7,5.902625682690308E-8,8.684616669270605E-8,1.6754311261259526E-7,2.4476131243952865E-7,3.0363192669062187E-8,3.7707667772268294E-4,1.772228575661666E-7,3.3018414700062375E-7,1.3733220922342343E-7,1.2035703191375024E-7,4.298961052186293E-4,3.427459364898635E-7,3.9453754873031904E-7,2.908149303221968E-7,7.356395978022915E-8,9.919476394439235E-5,1.0726606370982042E-7,2.4779382958673193E-7,9.316527435822403E-8
innov,2.622400579838507E-4,1.4855280599166946E-7,1.5801250605780445E-7,5.640772909024889E-4,2.3134155197330872E-7,1.6678861694375538E-7,3.008773885527587E-7,2.576912462025974E-7,6.679854240728057E-4,3.48600525759313E-7,1.8437893706649055E-7,1.1811153991063306E-4,8.693301285939874E-5,1.6754311261259526E-7,2.4476131243952865E-7,1.2148313386891781E-4,1.8844411680294003E-7,1.772228575661666E-7,3.3018414700062375E-7,1.3733220922342343E-7,1.2035703191375024E-7,2.1484063229316808E-7,3.427459364898635E-7,3.9453754873031904E-7,2.908149303221968E-7,7.356395978022915E-8,3.3053903347015116E-8,1.0726606370982042E-7,2.4779382958673193E-7,9.316527435822403E-8
backlit,4.369939309845871E-8,5.943597767726695E-4,1.5801250605780445E-7,9.399721561447908E-8,2.3134155197330872E-7,1.6678861694375538E-7,3.008773885527587E-7,2.576912462025974E-7,2.2258761215355072E-7,3.48600525759313E-7,1.8437893706649055E-7,1.7713779673753612E-4,8.684616669270605E-8,1.6754311261259526E-7,2.4476131243952865E-7,9.111994119985561E-5,1.8844411680294003E-7,1.772228575661666E-7,3.3018414700062375E-7,1.3733220922342343E-7,1.2035703191375024E-7,2.1484063229316808E-7,3.427459364898635E-7,3.9453754873031904E-7,2.908149303221968E-7,7.356395978022915E-8,3.3057208737349814E-4,1.0726606370982042E-7,2.4779382958673193E-7,9.316527435822403E-8
visit,4.369939309845871E-8,1.4855280599166946E-7,1.5801250605780445E-7,2.820856440590517E-4,2.3134155197330872E-7,1.6678861694375538E-7,3.008773885527587E-7,2.576912462025974E-7,2.2258761215355072E-7,3.48600525759313E-7,1.8437893706649055E-7,5.902625682690308E-8,1.7377917955210478E-4,1.6754311261259526E-7,2.4476131243952865E-7,4.554782532286018E-4,1.8844411680294003E-7,1.772228575661666E-7,3.3018414700062375E-7,1.3733220922342343E-7,1.2035703191375024E-7,2.1484063229316808E-7,3.427459364898635E-7,3.9453754873031904E-7,2.908149303221968E-7,7.356395978022915E-8,3.3053903347015116E-8,1.0726606370982042E-7,2.4779382958673193E-7,9.316527435822403E-8
startup,4.369939309845871E-8,1.4855280599166946E-7,1.5801250605780445E-7,9.399721561447908E-8,2.3134155197330872E-7,5.005326394482098E-4,0.0012038104315995877,2.576912462025974E-7,2.2258761215355072E-7,3.48600525759313E-7,3.6894225307004754E-4,5.9085283083729974E-5,8.684616669270605E-8,1.6754311261259526E-7,2.4476131243952865E-7,3.0363192669062187E-8,1.8844411680294003E-7,1.772228575661666E-7,3.3018414700062375E-7,2.7480175065607026E-4,1.2035703191375024E-7,6.447367375117973E-4,3.427459364898635E-7,3.9453754873031904E-7,2.908149303221968E-7,7.356395978022915E-8,3.308695725036213E-5,4.2917152090299153E-4,2.4779382958673193E-7,9.316527435822403E-8
alright,4.369939309845871E-8,1.4855280599166946E-7,1.5817051856386222E-4,9.399721561447908E-8,2.3134155197330872E-7,1.6678861694375538E-7,3.0117826594131143E-4,2.576912462025974E-7,2.2258761215355072E-7,3.48600525759313E-7,1.8437893706649055E-7,1.7713779673753612E-4,8.684616669270605E-8,1.6771065572520783E-4,2.4476131243952865E-7,1.2148313386891781E-4,1.8844411680294003E-7,1.772228575661666E-7,3.3018414700062375E-7,1.3733220922342343E-7,1.2035703191375024E-7,2.1484063229316808E-7,6.858346189162167E-4,0.0019730822812003253,2.908149303221968E-7,7.356395978022915E-8,3.3053903347015116E-8,1.0726606370982042E-7,2.4779382958673193E-7,2.7958898834903027E-4
refresh,4.369939309845871E-8,1.4855280599166946E-7,1.5801250605780445E-7,9.399721561447908E-8,2.3134155197330872E-7,3.337440225044545E-4,3.008773885527587E-7,2.576912462025974E-7,2.2258761215355072E-7,3.48600525759313E-7,1.8437893706649055E-7,1.7713779673753612E-4,8.684616669270605E-8,1.6754311261259526E-7,2.4476131243952865E-7,2.732990972142287E-4,1.8844411680294003E-7,1.772228575661666E-7,3.3018414700062375E-7,1.3733220922342343E-7,2.408344208594142E-4,2.1484063229316808E-7,3.427459364898635E-7,3.9453754873031904E-7,2.908149303221968E-7,7.356395978022915E-8,9.919476394439235E-5,1.0726606370982042E-7,2.4779382958673193E-7,1.8642371399080627E-4
execut,4.369939309845871E-8,1.4855280599166946E-7,1.5817051856386222E-4,9.399721561447908E-8,2.3134155197330872E-7,1.669554055606991E-4,3.008773885527587E-7,2.5794893744879993E-4,2.2258761215355072E-7,3.48600525759313E-7,1.8437893706649055E-7,1.7713779673753612E-4,8.684616669270605E-8,1.6754311261259526E-7,2.4476131243952865E-7,6.0756748530793425E-5,1.8844411680294003E-7,1.772228575661666E-7,3.3018414700062375E-7,5.494661691029172E-4,2.408344208594142E-4,2.1484063229316808E-7,3.427459364898635E-7,3.9453754873031904E-7,2.9110574525251893E-4,7.356395978022915E-8,2.3141037733245284E-4,1.0726606370982042E-7,2.4779382958673193E-7,9.316527435822403E-8
compromis,4.369939309845871E-8,1.4855280599166946E-7,1.5817051856386222E-4,9.399721561447908E-8,2.3134155197330872E-7,1.6678861694375538E-7,3.008773885527587E-7,2.5794893744879993E-4,4.4539781191925496E-4,3.48600525759313E-7,1.8437893706649055E-7,2.3616405356443923E-4,8.684616669270605E-8,1.6754311261259526E-7,0.001224051323510083,1.2148313386891781E-4,1.8844411680294003E-7,1.772228575661666E-7,3.3018414700062375E-7,1.3733220922342343E-7,1.2035703191375024E-7,2.1484063229316808E-7,3.427459364898635E-7,3.9453754873031904E-7,2.908149303221968E-7,7.356395978022915E-8,2.644642806794679E-4,1.0726606370982042E-7,2.4779382958673193E-7,9.316527435822403E-8
highlight,3.933382372792268E-4,1.4855280599166946E-7,1.5801250605780445E-7,9.399721561447908E-8,2.3134155197330872E-7,1.6678861694375538E-7,3.008773885527587E-7,2.576912462025974E-7,2.2258761215355072E-7,3.489491262850722E-4,1.8437893706649055E-7,5.902625682690308E-8,8.684616669270605E-8,1.6754311261259526E-7,2.4476131243952865E-7,3.0363192669062187E-8,1.8844411680294003E-7,1.772228575661666E-7,0.0013210667721494957,1.3746954143264685E-4,1.2035703191375024E-7,2.1484063229316808E-7,3.427459364898635E-7,3.9453754873031904E-7,2.9110574525251893E-4,7.356395978022915E-8,1.3224866729140747E-4,1.0726606370982042E-7,2.4779382958673193E-7,9.316527435822403E-8
