,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14
pencil,6.28029027031624E-4,2.3359186502314547E-7,1.7708608739092164E-7,9.358063951324593E-8,1.0568622541751609E-7,2.2441797758558126E-7,2.1528659705302792E-7,8.424620413984163E-8,6.082365816471545E-8,8.021838010051524E-8,1.513552882251186E-7,1.6787055031827418E-7,2.5575637261759743E-7,1.1558060007367109E-7,7.627200151689757E-8,1.5502984246952618E-7,3.347424876254071E-7,1.393850415597409E-7,1.1325835101956868E-7,7.092011976138784E-8,1.6574482159310276E-7,3.2718541040992734E-7,1.1300238175120018E-7,2.4701293433828075E-7,5.674927336811648E-8,2.875735721037531E-7,2.331887796088538E-7,1.873932678218962E-7,2.0481851952668078E-7,1.43526159293082E-7
spoil,3.305241971641619E-8,2.338254568881686E-4,1.7708608739092164E-7,1.8725485966600508E-4,1.0568622541751609E-7,2.2441797758558126E-7,2.1528659705302792E-7,8.424620413984163E-8,1.8253179815231105E-4,8.021838010051524E-8,1.513552882251186E-7,1.6787055031827418E-7,2.5575637261759743E-7,1.1558060007367109E-7,7.634827351841446E-5,1.5502984246952618E-7,3.347424876254071E-7,2.7890946816104155E-4,1.1325835101956868E-7,7.092011976138784E-8,1.6574482159310276E-7,3.2718541040992734E-7,1.1300238175120018E-7,9.882987502874614E-4,2.2705384274583404E-4,2.875735721037531E-7,2.331887796088538E-7,1.873932678218962E-7,2.0502333804620743E-4,2.8719584474545703E-4
deep,1.3224273128538118E-4,2.3359186502314547E-7,1.7708608739092164E-7,9.358063951324593E-8,1.0568622541751609E-7,2.2441797758558126E-7,2.1528659705302792E-7,8.424620413984163E-8,6.082365816471545E-8,8.021838010051524E-8,1.513552882251186E-7,1.6787055031827418E-7,5.117685016078124E-4,1.1558060007367109E-7,7.627200151689757E-8,1.5502984246952618E-7,3.347424876254071E-7,1.393850415597409E-7,1.1325835101956868E-7,7.092011976138784E-8,1.6574482159310276E-7,3.2718541040992734E-7,7.911296746401525E-4,2.4701293433828075E-7,5.674927336811648E-8,2.875735721037531E-7,2.3342196838846264E-4,1.873932678218962E-7,2.0481851952668078E-7,8.613004819177851E-4
innov,5.288717678823754E-4,2.3359186502314547E-7,1.7708608739092164E-7,9.358063951324593E-8,1.0568622541751609E-7,2.2441797758558126E-7,2.1528659705302792E-7,8.424620413984163E-8,6.088448182288016E-5,8.021838010051524E-8,1.513552882251186E-7,1.6787055031827418E-7,2.56012128990215E-4,3.468573808210869E-4,7.627200151689757E-8,1.5502984246952618E-7,3.347424876254071E-7,1.393850415597409E-7,1.1325835101956868E-7,7.092011976138784E-8,1.6574482159310276E-7,3.2718541040992734E-7,1.1300238175120018E-7,2.47259947272619E-4,5.674927336811648E-8,2.875735721037531E-7,2.331887796088538E-7,1.873932678218962E-7,2.0481851952668078E-7,1.43526159293082E-7
grant,1.6529515100179737E-4,2.3359186502314547E-7,1.7708608739092164E-7,9.358063951324593E-8,1.0568622541751609E-7,2.2441797758558126E-7,2.1528659705302792E-7,1.6857665448382307E-4,1.8253179815231105E-4,8.021838010051524E-8,3.028619317384623E-4,1.6787055031827418E-7,2.5575637261759743E-7,4.6243798089475805E-4,7.627200151689757E-8,3.1021471478152185E-4,3.347424876254071E-7,1.393850415597409E-7,1.1325835101956868E-7,7.092011976138784E-8,1.6574482159310276E-7,3.2718541040992734E-7,1.1300238175120018E-7,2.4701293433828075E-7,5.674927336811648E-8,2.875735721037531E-7,2.331887796088538E-7,1.873932678218962E-7,2.0502333804620743E-4,1.43526159293082E-7
brush,2.3139999043462974E-4,2.3359186502314547E-7,1.7708608739092164E-7,9.367422015275915E-5,2.1147813706044966E-4,2.2441797758558126E-7,2.1528659705302792E-7,4.21315266903348E-4,6.082365816471545E-8,8.021838010051524E-8,1.513552882251186E-7,1.6787055031827418E-7,2.5575637261759743E-7,1.1558060007367109E-7,7.627200151689757E-8,1.551848723119957E-4,3.347424876254071E-7,1.393850415597409E-7,4.531466624292943E-4,7.092011976138784E-8,1.6591056641469584E-4,3.2718541040992734E-7,1.1300238175120018E-7,2.4701293433828075E-7,5.674927336811648E-8,2.875735721037531E-7,2.331887796088538E-7,1.873932678218962E-7,2.0481851952668078E-7,1.43526159293082E-7
rich,3.305241971641619E-8,2.3359186502314547E-7,1.7726317347831254E-4,9.358063951324593E-8,1.0568622541751609E-7,2.2441797758558126E-7,2.1528659705302792E-7,5.898076751830313E-4,6.082974053053192E-4,8.021838010051524E-8,1.513552882251186E-7,1.6787055031827418E-7,2.5575637261759743E-7,1.1558060007367109E-7,3.8143627958600476E-4,1.5502984246952618E-7,3.347424876254071E-7,1.393850415597409E-7,1.1325835101956868E-7,7.092011976138784E-8,1.6574482159310276E-7,3.2718541040992734E-7,1.1300238175120018E-7,2.4701293433828075E-7,5.674927336811648E-8,2.875735721037531E-7,2.331887796088538E-7,1.873932678218962E-7,2.0481851952668078E-7,1.43526159293082E-7
startup,3.305241971641619E-8,2.3359186502314547E-7,1.7708608739092164E-7,9.358063951324593E-8,3.1716436247796576E-4,2.2441797758558126E-7,2.1528659705302792E-7,2.528228586236647E-4,6.082365816471545E-8,1.6051697858113098E-4,1.513552882251186E-7,1.6787055031827418E-7,2.56012128990215E-4,1.1558060007367109E-7,7.627200151689757E-8,1.5502984246952618E-7,3.347424876254071E-7,1.393850415597409E-7,1.1325835101956868E-7,7.092011976138784E-8,1.6574482159310276E-7,3.2718541040992734E-7,2.2611776588415155E-4,2.4701293433828075E-7,1.1355529600960107E-4,2.875735721037531E-7,2.331887796088538E-7,7.497604645554068E-4,4.098418575728882E-4,1.4366968545237506E-4
convers,6.613789185254878E-5,2.3359186502314547E-7,1.7708608739092164E-7,9.358063951324593E-8,1.0568622541751609E-7,2.2441797758558126E-7,4.307884807031088E-4,8.433045034398145E-5,6.082365816471545E-8,8.021838010051524E-8,1.513552882251186E-7,1.6787055031827418E-7,2.5575637261759743E-7,1.1558060007367109E-7,7.634827351841446E-5,4.65244557251048E-4,3.3507723011303245E-4,1.393850415597409E-7,1.1325835101956868E-7,3.5467151892670063E-4,1.6574482159310276E-7,3.275125958203372E-4,1.1300238175120018E-7,2.4701293433828075E-7,1.7030456937771756E-4,2.875735721037531E-7,2.331887796088538E-7,3.7497392891161426E-4,2.0481851952668078E-7,1.4366968545237506E-4
alright,3.305241971641619E-8,0.0011681929169807506,1.7708608739092164E-7,1.8725485966600508E-4,1.0568622541751609E-7,2.2441797758558126E-7,2.1528659705302792E-7,8.424620413984163E-8,6.082365816471545E-8,1.6051697858113098E-4,0.0010596383728640553,1.6787055031827418E-7,2.5575637261759743E-7,1.1558060007367109E-7,7.627200151689757E-8,1.5502984246952618E-7,3.347424876254071E-7,2.7890946816104155E-4,1.1325835101956868E-7,1.4191115964253705E-4,1.6574482159310276E-7,3.2718541040992734E-7,1.1300238175120018E-7,2.4701293433828075E-7,5.674927336811648E-8,2.875735721037531E-7,2.331887796088538E-7,1.873932678218962E-7,2.0481851952668078E-7,1.43526159293082E-7
