,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12
respond,2.5408845070265225E-4,8.386024261626073E-4,0.0025579269701893077,0.002362552382179186,2.603100344572393E-7,1.7725552784657752E-7,1.6179729614066527E-7,2.3077421405933682E-4,7.113779944071134E-4,1.4387303032426246E-7,1.6751616907942997E-7,2.7088723424946495E-7,9.93284364850015E-4,2.0351788810301586E-7,2.2016582599685517E-4,1.5256523956633026E-7,2.071005243163974E-7,2.9107262371059263E-4,1.7650465363344537E-7,5.125907559782754E-4,3.52315218063048E-4,4.5637283265668056E-4,1.6285125182943024E-7,3.4289691860593636E-4,9.549663646521874E-8,0.0035370314775204706
lose,2.538346160865657E-7,2.7944099505585047E-7,0.0025579269701893077,7.461542469058099E-4,2.603100344572393E-7,0.0010637104226073118,0.001456337462562128,2.3054367038894792E-7,2.3704698247487953E-7,1.4387303032426246E-7,0.0016753292069633789,2.7088723424946495E-7,1.6551980750708467E-7,0.0038670433918454043,2.1994588011673847E-7,1.5256523956633026E-7,2.071005243163974E-7,4.365362037758563E-4,1.7650465363344537E-7,5.125907559782754E-4,0.0010565935150406553,2.283004525184094E-4,1.6285125182943024E-7,6.856224744339588E-4,9.549663646521874E-8,6.24353359451734E-4
technolog,2.538346160865657E-7,0.0011180434212184579,0.0012790548331044456,1.2433831809795198E-7,2.603100344572393E-7,0.0014182214783004668,6.473509818588018E-4,2.3054367038894792E-7,2.3704698247487953E-7,1.4387303032426246E-7,1.6751616907942997E-7,2.7088723424946495E-7,1.6551980750708467E-7,2.0351788810301586E-7,2.2016582599685517E-4,6.104135235048874E-4,0.0016570112950554956,0.0010183905240369112,3.5318581192052414E-4,1.7097745642594256E-4,1.760695742444018E-7,6.844452127949517E-4,4.887166067401201E-4,0.002741975809402093,0.0012415517706843087,2.0804843700490973E-7
older,2.5408845070265225E-4,0.005030217352000365,1.8269601958355173E-7,1.2433831809795198E-7,2.603100344572393E-7,0.0012409659504538893,1.6179729614066527E-7,4.613178844482847E-4,2.3728402945735438E-4,4.3176296400311163E-4,0.001507813037883949,2.7088723424946495E-7,1.6551980750708467E-7,2.0372140599111884E-4,4.401117061135936E-4,7.629787630712176E-4,0.0014499107707390982,0.0011638541041021746,1.7650465363344537E-7,1.7097745642594256E-4,1.7624564381864619E-4,2.2807238013827115E-7,1.6285125182943024E-7,0.0010283480302619812,1.9108876956690267E-4,6.24353359451734E-4
tile,2.538346160865657E-7,2.7944099505585047E-7,1.8269601958355173E-7,1.2433831809795198E-7,2.603100344572393E-7,1.7725552784657752E-7,1.6179729614066527E-7,2.3054367038894792E-7,2.3704698247487953E-7,0.0070499223589191844,1.6751616907942997E-7,2.7088723424946495E-7,1.6551980750708467E-7,2.0351788810301586E-7,2.1994588011673847E-7,1.5256523956633026E-7,2.071005243163974E-7,1.4546358006526367E-7,1.7650465363344537E-7,1.708066497761664E-7,1.760695742444018E-7,6.844452127949517E-4,0.0032571878878404343,1.7136277791401119E-7,0.0027694979541278085,4.163049224468243E-4
budget,2.538346160865657E-7,0.0022358074014418596,1.8269601958355173E-7,1.2433831809795198E-7,2.603100344572393E-7,1.7725552784657752E-7,1.619590934368059E-4,2.3054367038894792E-7,2.3704698247487953E-7,7.195090246516366E-4,1.6751616907942997E-7,2.7088723424946495E-7,3.312051348216764E-4,2.0372140599111884E-4,2.2016582599685517E-4,0.005339935950061125,2.071005243163974E-7,2.9107262371059263E-4,1.7650465363344537E-7,6.833974057544418E-4,0.0019369413862626642,0.005473965195698646,1.6285125182943024E-7,0.0013710735860900033,2.865854060321214E-4,4.163049224468243E-4
entri,2.538346160865657E-7,2.7944099505585047E-7,7.309667743537905E-4,3.731392926119539E-4,2.6057034449169646E-4,8.864548947607343E-4,1.619590934368059E-4,2.3054367038894792E-7,4.743310119322339E-4,1.4387303032426246E-7,1.6751616907942997E-7,2.7088723424946495E-7,0.0011588041723570998,2.0351788810301586E-7,2.2016582599685517E-4,0.005797631668760115,2.071005243163974E-7,0.002036635584493757,1.7650465363344537E-7,1.708066497761664E-7,1.7624564381864619E-4,0.002737096634039392,1.6285125182943024E-7,6.856224744339588E-4,8.595652248234338E-4,2.0804843700490973E-7
easier,2.538346160865657E-7,0.0013974844162743083,0.002192534931022204,1.2433831809795198E-7,2.6057034449169646E-4,1.7725552784657752E-7,1.6179729614066527E-7,2.3054367038894792E-7,2.3704698247487953E-7,0.0018704932672457362,3.3519985432793934E-4,5.420453557331794E-4,1.6568532731459171E-4,6.107571821971506E-4,0.001099949346463809,4.5784828393855703E-4,2.0730762484071378E-4,5.819997838411201E-4,0.0014122137337211963,8.542040555306083E-4,1.7624564381864619E-4,2.283004525184094E-4,8.144191103989807E-4,3.4289691860593636E-4,8.595652248234338E-4,2.0804843700490973E-7
biggest,0.0010155922989623495,2.7944099505585047E-7,0.001644446872271549,1.2433831809795198E-7,2.6057034449169646E-4,0.0015954770061470443,1.6179729614066527E-7,2.3054367038894792E-7,2.3704698247487953E-7,7.195090246516366E-4,1.6751616907942997E-7,8.129325899826443E-4,8.277645573429304E-4,0.0014248287346092141,2.1994588011673847E-7,6.104135235048874E-4,2.071005243163974E-7,1.4546358006526367E-7,0.001235709080087751,8.542040555306083E-4,0.0024651501089958698,2.2807238013827115E-7,1.6285125182943024E-7,5.142596965199475E-4,2.865854060321214E-4,8.324017964566439E-4
sprint,7.617576828757838E-4,5.591614311067568E-4,1.8287871560313524E-4,3.731392926119539E-4,0.0018224305512351323,1.7743278337442408E-4,1.6179729614066527E-7,4.613178844482847E-4,2.3704698247487953E-7,7.195090246516366E-4,0.0016753292069633789,2.711581214837144E-4,1.6551980750708467E-7,8.142750703001666E-4,6.600575862303321E-4,1.5271780480589656E-4,0.004142217586852265,1.4546358006526367E-7,0.004765802152756658,1.7097745642594256E-4,1.760695742444018E-7,9.12517592933223E-4,4.887166067401201E-4,1.7153414069192517E-4,2.865854060321214E-4,2.0825648544191462E-4
