S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,
good (0.022),great (0.028),good (0.027),good (0.036),good (0.022),good (0.026),app (0.024),good (0.034),great (0.021),good (0.027),good (0.024),work (0.027),great (0.026),work (0.022),work (0.022),work (0.020),work (0.019),work (0.026),batteri (0.019),problem (0.019),work (0.018),work (0.018),work (0.018),batteri (0.022),work (0.019),call (0.017),
great (0.018),good (0.022),great (0.022),great (0.030),great (0.022),screen (0.017),great (0.020),great (0.032),good (0.020),great (0.026),great (0.023),great (0.026),price (0.019),tmobil (0.017),batteri (0.021),batteri (0.015),time (0.016),batteri (0.021),work (0.015),time (0.018),problem (0.018),card (0.017),screen (0.017),app (0.017),problem (0.018),problem (0.013),
work (0.014),screen (0.020),app (0.016),work (0.020),work (0.016),work (0.016),good (0.019),work (0.019),work (0.017),work (0.015),camera (0.018),good (0.021),good (0.019),call (0.015),charg (0.015),time (0.014),problem (0.013),problem (0.018),call (0.014),batteri (0.016),batteri (0.015),time (0.013),time (0.015),screen (0.012),batteri (0.015),app (0.011),
app (0.013),work (0.017),work (0.015),love (0.018),price (0.014),great (0.015),work (0.014),price (0.018),screen (0.013),batteri (0.014),screen (0.017),batteri (0.011),window (0.018),servic (0.014),time (0.014),problem (0.012),app (0.013),time (0.016),charg (0.013),call (0.016),time (0.012),sim (0.012),problem (0.014),work (0.011),bought (0.014),work (0.010),
screen (0.011),price (0.013),price (0.014),price (0.018),love (0.011),batteri (0.015),card (0.013),batteri (0.012),card (0.012),screen (0.013),batteri (0.015),love (0.011),app (0.015),problem (0.013),problem (0.014),screen (0.012),card (0.012),charg (0.013),problem (0.012),work (0.014),app (0.011),call (0.012),call (0.011),bad (0.011),charg (0.013),time (0.010),
batteri (0.010),batteri (0.013),call (0.013),qualiti (0.010),call (0.010),time (0.010),android (0.012),love (0.012),camera (0.011),day (0.011),app (0.012),android (0.010),android (0.014),card (0.013),bad (0.013),call (0.010),call (0.011),call (0.013),month (0.011),screen (0.012),receiv (0.011),batteri (0.011),day (0.011),life (0.011),buy (0.013),window (0.009),
call (0.010),love (0.011),android (0.008),call (0.010),bought (0.010),nice (0.009),screen (0.010),nice (0.011),app (0.011),buy (0.010),qualiti (0.010),call (0.010),nokia (0.014),custom (0.011),call (0.012),turn (0.009),sim (0.010),issu (0.012),time (0.011),button (0.012),call (0.011),screen (0.010),batteri (0.011),problem (0.010),unlock (0.012),android (0.009),
price (0.009),better (0.010),featur (0.008),nice (0.009),window (0.009),featur (0.008),window (0.009),screen (0.011),nice (0.008),love (0.009),life (0.010),screen (0.010),love (0.013),sim (0.011),screen (0.012),card (0.009),batteri (0.009),start (0.011),day (0.010),turn (0.011),item (0.009),month (0.010),month (0.010),time (0.010),purchas (0.012),text (0.009),
tmobil (0.008),nice (0.009),nokia (0.008),camera (0.009),camera (0.009),call (0.008),music (0.008),time (0.011),sim (0.008),price (0.009),work (0.010),buy (0.009),work (0.013),buy (0.010),day (0.010),button (0.008),button (0.008),voic (0.009),buy (0.009),charg (0.009),box (0.008),problem (0.010),text (0.008),card (0.008),call (0.012),month (0.008),
nice (0.008),case (0.009),screen (0.008),featur (0.009),batteri (0.009),servic (0.008),batteri (0.008),camera (0.009),batteri (0.008),time (0.008),android (0.009),time (0.009),lumia (0.010),time (0.010),wast (0.008),set (0.008),servic (0.007),screen (0.009),screen (0.008),app (0.009),buy (0.008),servic (0.009),week (0.008),android (0.007),return (0.012),screen (0.008),
