,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S0-T15,S0-T16,S0-T17,S0-T18,S0-T19,S0-T20,S0-T21,S0-T22,S0-T23,S0-T24,S0-T25,S0-T26,S0-T27,S0-T28,S0-T29,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14,S1-T15,S1-T16,S1-T17,S1-T18,S1-T19,S1-T20,S1-T21,S1-T22,S1-T23,S1-T24,S1-T25,S1-T26,S1-T27,S1-T28,S1-T29
shame,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,7.122925461308205E-4,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,0.001340040006991513,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,0.004159165339642071,1.5587516892971434E-6,1.159367866264598E-6
slot,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.563242572098707E-4,0.0010889442245161486,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,0.0020097251679068117,6.599618938002519E-7,7.786712597888711E-7,0.0012333354841016439,0.0024726934811594593,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,0.0014089177948218574,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,0.004462194757478748,1.2261829293264946E-6,0.022256076897320187,1.376388604052914E-6,0.0031288162254373853,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
lightweight,0.0012236743375127427,7.260903880880515E-7,1.0317372701676264E-6,0.0017801974128936698,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,0.009150426828608954,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,0.0013153751645862352,6.696851609152989E-7,6.599618938002519E-7,0.0015581211908375309,8.223606476799032E-4,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,0.007222531151729323,7.048109508329231E-4,6.801615247588997E-7,0.004132241648137269,0.0027418400961048877,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,0.0012840922647872652,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,0.0015340079290279967,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,0.001449592275019948,9.876162794717043E-7,1.389778733327867E-6,0.0013873123975280614,1.5587516892971434E-6,0.0034792629666600583
evf,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,0.0010682608350517703,0.0010889442245161486,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.580162617445385E-4,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,0.0012369646050178005,9.697073132416443E-7,9.840361999490777E-4,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.271093560858639E-4,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,0.0010126054713066454,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,0.03973443751587824,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
chose,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,0.00561770254341262,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
harder,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,0.0028738631673400437,6.573589028416968E-7,6.696851609152989E-7,0.002640507537094808,7.794499310486598E-4,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,0.0016612164487824802,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,0.001455917409776027,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
immens,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.271093560858639E-4,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,0.004182351063844614,0.012845856148503799,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
super,0.002446737143622431,7.260903880880515E-7,0.02166751441079032,0.002848102279656519,0.00326465696081215,0.0017688569789407896,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,0.006368951611069112,7.494909083005369E-7,8.678755015235555E-7,0.0028738631673400437,6.573589028416968E-7,0.002679410328822111,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,0.003210459630937565,0.0021130246388107914,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,0.0014952486065642982,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,0.005086842483335219,0.002975292139191928,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.522492654564896E-4,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
storag,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.794499310486598E-4,0.003288209666210347,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,0.0020744437237197404,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,0.001455917409776027,1.1006682156737356E-6,1.5859447234826079E-6,0.0012990906365544118,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
ring,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,0.00142422912397272,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.317813679310021E-7,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,0.0021130246388107914,6.808416862836585E-4,8.262830730128512E-7,0.001371262692403369,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,0.0012726641654132852,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,1.376388604052914E-6,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,1.2844571691334667E-6,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,1.159367866264598E-6
remain,6.11531403054844E-7,7.260903880880515E-7,1.0317372701676264E-6,3.5596828892094977E-7,1.0878563681480007E-6,8.839864962222837E-7,8.552571373346254E-7,8.32613149298933E-4,7.080954427685399E-7,9.097202701141426E-7,7.494909083005369E-7,8.678755015235555E-7,9.57635177387552E-7,6.573589028416968E-7,6.696851609152989E-7,6.599618938002519E-7,7.786712597888711E-7,4.109748364217407E-7,1.235728876141659E-6,9.697073132416443E-7,9.830531468022755E-7,9.42294808238295E-7,9.476526170848499E-7,8.693845366050012E-7,8.024143041583517E-7,7.041068439889343E-7,6.801615247588997E-7,8.262830730128512E-7,6.852887018507592E-7,7.472506779431776E-7,8.301931278273265E-7,1.65964360813159E-6,1.6115022585204154E-6,1.2713927726406447E-6,1.4869026182868207E-6,1.2261829293264946E-6,1.0115938774292163E-6,0.0013777649926569667,1.5636262995689084E-6,8.513978675889008E-7,9.731990707895273E-7,1.2828094553319335E-6,1.204037378136367E-6,1.2276882997621968E-6,1.3936524704580518E-6,0.008992484641103402,2.0723713523673735E-6,1.3613981013942079E-6,1.4133496528106577E-6,1.5324754535744225E-6,1.454462946829198E-6,1.1006682156737356E-6,1.5859447234826079E-6,1.2977928437107012E-6,1.4481441308890593E-6,9.876162794717043E-7,1.389778733327867E-6,1.3859264710570046E-6,1.5587516892971434E-6,0.0034792629666600583
