,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S0-T15,S0-T16,S0-T17,S0-T18,S0-T19,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14,S1-T15,S1-T16,S1-T17,S1-T18,S1-T19
bang,3.3769648447828765E-7,5.723315470865749E-7,4.860883932299553E-7,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,0.005047188468111117,5.502853504684854E-7,4.700929232681424E-7,4.714225978307961E-7,6.534926897040266E-7,5.34083433329474E-4,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,4.173206428907968E-7,0.003910651035978995,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,9.045361583806632E-7,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,0.014191083412635839,7.96470679126654E-7,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.298370662445617E-4,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
curv,3.3769648447828765E-7,0.0045792247082396854,4.860883932299553E-7,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,0.0015254882604503063,3.9258192890419787E-7,6.308197060506334E-7,5.502853504684854E-7,4.700929232681424E-7,4.714225978307961E-7,6.534926897040266E-7,5.335498834460279E-7,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,4.173206428907968E-7,5.585846359061555E-7,6.933663560616513E-7,0.0012347743559395978,9.684864203676568E-7,1.0827913060520456E-6,9.045361583806632E-7,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,8.868872828345628E-7,7.96470679126654E-7,7.798750174322712E-4,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.291079582862755E-7,1.0034730201226444E-6,9.332371476913113E-7,8.27588031473148E-4,0.004097370096326295,8.940233644066054E-7
playback,3.3769648447828765E-7,5.723315470865749E-7,0.00826398877330247,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,6.308197060506334E-7,5.502853504684854E-7,4.700929232681424E-7,4.714225978307961E-7,6.534926897040266E-7,0.002134733083667558,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,4.177379635336875E-4,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,9.045361583806632E-7,7.186287987616589E-7,0.0010219092858987748,8.639017778234686E-7,8.868872828345628E-7,7.972671498057806E-4,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.291079582862755E-7,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
stick,3.3769648447828765E-7,0.0011452354257202363,0.005833546807152693,5.014444106248048E-7,4.911102181834416E-4,5.610919747575942E-7,5.083266446019015E-7,7.855564397372998E-4,0.0018930899378579507,5.502853504684854E-7,4.700929232681424E-7,4.714225978307961E-7,6.534926897040266E-7,0.004268932617451669,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,0.005842906321114045,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,0.0054281214864423605,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,8.868872828345628E-7,7.972671498057806E-4,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,0.004516991973890116,0.006562700732534765,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,0.0017889407521776174
band,3.3769648447828765E-7,5.723315470865749E-7,4.860883932299553E-7,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,6.308197060506334E-7,5.502853504684854E-7,4.700929232681424E-7,4.714225978307961E-7,6.534926897040266E-7,5.335498834460279E-7,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,4.173206428907968E-7,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,9.045361583806632E-7,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,8.868872828345628E-7,7.972671498057806E-4,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,0.003646268899389664,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
lumix,3.3769648447828765E-7,5.723315470865749E-7,4.860883932299553E-7,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,6.308197060506334E-7,5.502853504684854E-7,9.406559394595529E-4,4.714225978307961E-7,0.002614624251505811,5.335498834460279E-7,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,4.173206428907968E-7,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,9.045361583806632E-7,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,8.868872828345628E-7,7.96470679126654E-7,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.291079582862755E-7,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
usbav,3.3769648447828765E-7,5.723315470865749E-7,4.860883932299553E-7,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,6.308197060506334E-7,5.502853504684854E-7,4.705630161914105E-4,4.714225978307961E-7,6.534926897040266E-7,5.335498834460279E-7,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,4.173206428907968E-7,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,0.00758062193367037,9.045361583806632E-7,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,8.868872828345628E-7,7.96470679126654E-7,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.291079582862755E-7,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
benefit,3.3769648447828765E-7,5.723315470865749E-7,4.860883932299553E-7,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,6.308197060506334E-7,5.502853504684854E-7,4.700929232681424E-7,4.714225978307961E-7,0.004575102320617891,5.335498834460279E-7,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,4.173206428907968E-7,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,0.001809976852919707,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,8.868872828345628E-7,7.96470679126654E-7,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.291079582862755E-7,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
highest,3.3769648447828765E-7,5.723315470865749E-7,4.860883932299553E-7,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,0.0030504681942560108,0.0015707202975456956,6.308197060506334E-7,5.502853504684854E-7,9.406559394595529E-4,4.714225978307961E-7,6.541461823937305E-4,0.002134733083667558,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,4.173206428907968E-7,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,9.045361583806632E-7,7.186287987616589E-7,1.0208883975012737E-6,0.002592569235248229,8.868872828345628E-7,7.96470679126654E-7,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.291079582862755E-7,1.0034730201226444E-6,9.332371476913113E-7,8.27588031473148E-4,8.193101572338123E-7,8.940233644066054E-7
qualiti,0.02600296700131263,0.01774285029123091,0.004861370020692783,0.018553944637528397,0.021097133358747428,0.03591044747646079,0.030500107002758688,0.017273997453713608,0.010724565822566819,0.016509110799405032,0.03619762518457024,0.022157333520645243,0.01437749266617829,0.010671531218804006,0.032706740959974334,0.009122564473943603,0.07796259602609196,0.008764150821349624,0.022902528656788282,0.00416089150272597,0.011108032574347178,9.694549067880244E-4,0.002166665403410143,0.012664410753487666,0.008624264213938668,0.0010219092858987748,0.023326211903011478,0.004435323301455648,7.972671498057806E-4,7.790959215107606E-7,0.002143456245534466,0.0043166436347848456,0.007832300088396037,0.005269698518447709,0.0014589450245308371,0.012042679714491855,9.332371476913113E-7,8.267612702029452E-7,0.0016394396246248583,0.004471010845397434
mic,3.3769648447828765E-7,5.723315470865749E-7,4.865744816231852E-4,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,6.314505257566839E-4,5.502853504684854E-7,4.700929232681424E-7,4.714225978307961E-7,6.534926897040266E-7,5.335498834460279E-7,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,4.173206428907968E-7,0.0011177278564482173,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,0.012664410753487666,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,8.868872828345628E-7,0.0023902085080590883,7.790959215107606E-7,1.0711925265039812E-6,8.640192518335593E-4,0.0019588092084590015,7.52706544557593E-7,7.291079582862755E-7,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
cute,3.3769648447828765E-7,5.723315470865749E-7,4.860883932299553E-7,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,0.0012622702318073173,5.502853504684854E-7,4.700929232681424E-7,4.714225978307961E-7,6.534926897040266E-7,5.335498834460279E-7,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,8.350586064244843E-4,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,9.045361583806632E-7,0.0014379762263220792,1.0208883975012737E-6,8.639017778234686E-7,8.868872828345628E-7,7.96470679126654E-7,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.291079582862755E-7,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
long,0.004052695510223929,0.0022898985198933864,4.860883932299553E-7,0.022064055511902034,4.911102181834416E-4,0.0033671129405203233,0.0020338149050522078,0.0051039576576834755,0.008201286998364284,5.502853504684854E-7,0.004231306402336549,4.7189402042862677E-4,6.534926897040266E-7,5.335498834460279E-7,5.191463779935926E-7,5.067809829422589E-7,0.0023487264698796146,4.177379635336875E-4,5.585846359061555E-7,6.933663560616513E-7,0.010490953935696705,9.684864203676568E-7,1.0827913060520456E-6,9.045361583806632E-7,0.0035938626226070564,0.004084574478402596,8.639017778234686E-7,0.007982872432793898,0.010354915299325628,0.014803601604625962,0.003214648772038447,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.298370662445617E-4,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
fell,3.3769648447828765E-7,5.723315470865749E-7,4.860883932299553E-7,5.014444106248048E-7,0.0014723494153531553,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,6.308197060506334E-7,5.502853504684854E-7,0.0014107488627276954,4.714225978307961E-7,6.534926897040266E-7,5.335498834460279E-7,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,4.173206428907968E-7,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,9.045361583806632E-7,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,0.0026615487357865225,7.96470679126654E-7,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.291079582862755E-7,1.0034730201226444E-6,0.0028006446802216253,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
1st,3.3769648447828765E-7,5.723315470865749E-7,4.860883932299553E-7,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,6.308197060506334E-7,5.502853504684854E-7,0.0014107488627276954,4.714225978307961E-7,6.534926897040266E-7,5.335498834460279E-7,5.191463779935926E-7,5.072877639252011E-4,4.6965136370318224E-7,4.173206428907968E-7,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,9.045361583806632E-7,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,8.868872828345628E-7,7.96470679126654E-7,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.291079582862755E-7,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
min,0.002026516603354204,5.723315470865749E-7,4.860883932299553E-7,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,6.308197060506334E-7,5.502853504684854E-7,4.700929232681424E-7,4.714225978307961E-7,6.534926897040266E-7,5.335498834460279E-7,0.0010388119023651788,5.067809829422589E-7,4.6965136370318224E-7,4.173206428907968E-7,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,0.004523585328061697,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,8.868872828345628E-7,7.96470679126654E-7,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.291079582862755E-7,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
defin,3.3769648447828765E-7,5.723315470865749E-7,4.865744816231852E-4,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,6.308197060506334E-7,0.0027519770376928957,4.700929232681424E-7,4.714225978307961E-7,6.534926897040266E-7,5.34083433329474E-4,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,8.350586064244843E-4,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,9.045361583806632E-7,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,0.015964857978304964,7.96470679126654E-7,7.790959215107606E-7,0.003214648772038447,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.298370662445617E-4,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
mix,3.3769648447828765E-7,5.723315470865749E-7,4.865744816231852E-4,5.014444106248048E-7,4.911102181834416E-4,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,6.308197060506334E-7,5.502853504684854E-7,4.700929232681424E-7,0.0028290070095826074,6.534926897040266E-7,5.335498834460279E-7,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,4.173206428907968E-7,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,9.045361583806632E-7,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,8.868872828345628E-7,7.96470679126654E-7,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.291079582862755E-7,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
bother,3.3769648447828765E-7,5.723315470865749E-7,4.865744816231852E-4,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,6.308197060506334E-7,5.502853504684854E-7,4.700929232681424E-7,4.714225978307961E-7,6.534926897040266E-7,5.335498834460279E-7,5.191463779935926E-7,5.067809829422589E-7,0.0014094237424732497,0.0012523792493152812,5.591432205420616E-4,0.0013874260784793643,6.170786386504738E-7,9.684864203676568E-7,0.0010838740973580974,9.045361583806632E-7,7.186287987616589E-7,1.0208883975012737E-6,0.0034564710130716983,8.868872828345628E-7,7.96470679126654E-7,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.798940618028287E-4,7.52706544557593E-7,7.291079582862755E-7,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
star,3.3769648447828765E-7,5.723315470865749E-7,4.860883932299553E-7,5.014444106248048E-7,4.906195985848568E-7,5.610919747575942E-7,5.088349712465033E-4,0.0019633022264498937,6.308197060506334E-7,5.502853504684854E-7,4.700929232681424E-7,4.714225978307961E-7,6.534926897040266E-7,5.335498834460279E-7,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,4.173206428907968E-7,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,9.045361583806632E-7,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,8.868872828345628E-7,7.96470679126654E-7,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.291079582862755E-7,0.005018368573633345,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
everyday,3.3769648447828765E-7,5.723315470865749E-7,4.860883932299553E-7,5.014444106248048E-7,0.0024535886125228693,5.610919747575942E-7,5.083266446019015E-7,3.9258192890419787E-7,6.308197060506334E-7,5.502853504684854E-7,9.406559394595529E-4,4.714225978307961E-7,6.534926897040266E-7,5.335498834460279E-7,5.191463779935926E-7,5.067809829422589E-7,4.6965136370318224E-7,4.173206428907968E-7,5.585846359061555E-7,6.933663560616513E-7,6.170786386504738E-7,9.684864203676568E-7,1.0827913060520456E-6,9.045361583806632E-7,7.186287987616589E-7,1.0208883975012737E-6,8.639017778234686E-7,8.868872828345628E-7,7.96470679126654E-7,7.790959215107606E-7,1.0711925265039812E-6,8.631560957378215E-7,9.789151466561727E-7,7.52706544557593E-7,7.291079582862755E-7,1.0034730201226444E-6,9.332371476913113E-7,8.267612702029452E-7,8.193101572338123E-7,8.940233644066054E-7
