,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12
pure,2.1824730824682375E-7,1.2128624548481628E-7,1.0473443641038219E-7,1.512411300858233E-7,1.875939946127485E-4,1.543219878894277E-7,2.392941015439734E-7,1.4076659800072017E-7,1.3982185018424325E-7,5.522738827803103E-8,1.543219878894277E-7,1.3046385903223475E-7,1.8315159200858322E-7,0.0015046116101412553,8.49895097448122E-8,4.894487369679995E-4,1.7279638814077652E-7,3.8923258125813985E-7,0.0018625652886367326,3.989108796014798E-4,1.8466681858590274E-7,3.2925517869007806E-7,1.6170350110718386E-7,4.014197413411755E-7,3.8892981294809577E-7,2.1812280161197323E-4
owner,2.1824730824682375E-7,1.2128624548481628E-7,2.0957360725717476E-4,1.5139237121590912E-4,1.3400336624173052E-4,1.544763098773171E-4,2.392941015439734E-7,1.4076659800072017E-7,1.3982185018424325E-7,5.522738827803103E-8,1.543219878894277E-7,1.3046385903223475E-7,1.8315159200858322E-7,3.760588878133605E-7,6.800010674682424E-4,4.889597771908088E-7,1.7279638814077652E-7,3.8923258125813985E-7,1.4326323272338535E-7,1.9935576191978004E-7,0.002031519671263516,3.2925517869007806E-7,1.6170350110718386E-7,4.014197413411755E-7,3.8892981294809577E-7,2.17904896715258E-7
tvs,6.54960172048718E-4,8.491250046391989E-4,0.0055510298641866665,1.5139237121590912E-4,0.0030278972982767023,0.001697696188771594,0.0011967098018214111,0.002674706128611684,0.0012585364735083736,7.180112750026813E-4,0.0020063401645504493,0.0041749739528905445,0.0016485474796692576,0.007521553815155024,0.0033996653793022325,0.001467368291349617,0.0015553402896551294,3.8923258125813985E-7,0.002292354986806889,1.9935576191978004E-7,0.004801521950052057,9.880947912489241E-4,8.086792090370266E-4,0.00642311728120015,3.8931874276104385E-4,2.17904896715258E-7
buyer,2.1824730824682375E-7,1.2128624548481628E-7,1.0473443641038219E-7,1.512411300858233E-7,3.215705655402935E-4,1.543219878894277E-7,2.392941015439734E-7,1.4076659800072017E-7,1.3982185018424325E-7,5.522738827803103E-8,1.543219878894277E-7,7.829136180524408E-4,9.159411116349248E-4,3.760588878133605E-7,0.0011049486161923035,4.889597771908088E-7,1.7279638814077652E-7,0.0019465521388719574,1.4326323272338535E-7,1.9935576191978004E-7,1.8466681858590274E-7,3.2925517869007806E-7,1.6170350110718386E-7,0.0020075001264472188,3.8892981294809577E-7,2.17904896715258E-7
plain,2.1824730824682375E-7,2.4269377721511737E-4,3.1430804366755694E-4,1.512411300858233E-7,1.0720805205622151E-4,1.543219878894277E-7,2.392941015439734E-7,1.4076659800072017E-7,1.3982185018424325E-7,1.657373922223711E-4,1.543219878894277E-7,2.6105818192350176E-4,1.8315159200858322E-7,3.760588878133605E-7,8.49895097448122E-8,4.889597771908088E-7,1.7279638814077652E-7,3.8923258125813985E-7,1.4326323272338535E-7,1.9935576191978004E-7,1.8466681858590274E-7,3.2925517869007806E-7,1.6186520460829103E-4,4.014197413411755E-7,3.8892981294809577E-7,2.17904896715258E-7
hang,2.1824730824682375E-7,1.2128624548481628E-7,2.0957360725717476E-4,7.563568915592024E-4,1.0720805205622151E-4,1.543219878894277E-7,2.392941015439734E-7,1.4076659800072017E-7,1.3982185018424325E-7,4.418743336125262E-4,1.543219878894277E-7,1.3046385903223475E-7,1.833347436005918E-4,3.760588878133605E-7,1.7006400899936922E-4,4.889597771908088E-7,1.7279638814077652E-7,3.8923258125813985E-7,1.4326323272338535E-7,9.9697816536082E-4,1.8466681858590274E-7,3.2925517869007806E-7,4.8527220682265874E-4,4.014197413411755E-7,3.8892981294809577E-7,0.006755269703069713
alot,6.54960172048718E-4,6.065525136695663E-4,1.0473443641038219E-7,1.512411300858233E-7,1.607986804272395E-4,1.543219878894277E-7,2.392941015439734E-7,1.4076659800072017E-7,0.0011187146233241302,5.522738827803103E-8,1.543219878894277E-7,1.3046385903223475E-7,1.8315159200858322E-7,3.760588878133605E-7,8.5074499254557E-5,4.889597771908088E-7,1.7279638814077652E-7,0.0011680869763556776,2.8666972867949405E-4,1.9935576191978004E-7,1.8466681858590274E-7,3.2925517869007806E-7,1.6170350110718386E-7,4.014197413411755E-7,3.8892981294809577E-7,2.17904896715258E-7
perform,0.0010914547885423657,4.8526626818475E-4,0.002513731208285583,1.5139237121590912E-4,0.0012862018762186175,3.087982977667448E-4,2.392941015439734E-7,7.039737566016016E-4,0.00237711127498232,3.3141955705646417E-4,0.0010804082372138832,2.6105818192350176E-4,1.8315159200858322E-7,7.524938345145343E-4,2.550535187441814E-4,9.784085141588082E-4,3.457655726696938E-4,0.0058388779514533555,4.299329614028794E-4,1.9935576191978004E-7,0.0022161864898494186,3.2958443386876807E-4,6.469757079298427E-4,4.014197413411755E-7,3.8931874276104385E-4,2.17904896715258E-7
help,0.0039286697957510745,4.8526626818475E-4,7.332457893090857E-4,1.512411300858233E-7,0.0020900613017838876,0.003240916067665871,9.574157002774378E-4,8.447403546023218E-4,0.0039151516270089955,9.941482163928366E-4,0.0024693061282187326,0.0019570883493425536,0.0014653958876606743,3.760588878133605E-7,0.004929476554708852,4.889597771908088E-7,0.0022465258422182353,0.005449645370195216,5.731961941262648E-4,0.00199375697495972,1.8466681858590274E-7,0.0019758603273191586,8.086792090370266E-4,4.014197413411755E-7,7.782485557091396E-4,0.005447840322778165
glitchi,2.1824730824682375E-7,1.2128624548481628E-7,1.0473443641038219E-7,1.5139237121590912E-4,1.3400336624173052E-4,1.543219878894277E-7,2.392941015439734E-7,1.4076659800072017E-7,2.7978352221867073E-4,5.522738827803103E-8,1.543219878894277E-7,1.3046385903223475E-7,1.8315159200858322E-7,3.760588878133605E-7,8.49895097448122E-8,4.889597771908088E-7,3.457655726696938E-4,3.8923258125813985E-7,1.4326323272338535E-7,1.9935576191978004E-7,3.695183039903914E-4,3.2925517869007806E-7,1.6170350110718386E-7,4.014197413411755E-7,3.8892981294809577E-7,2.17904896715258E-7
