,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S0-T13,S0-T14,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12,S1-T13,S1-T14
tape,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.166644531925395E-5,2.06932872010984E-7,1.6429844154713272E-7,0.0010366668091727265,5.740038576823948E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,0.0011891864579571614,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,3.9980074913926924E-4,1.2910939359556754E-4,5.226439407144072E-8
occur,9.914256552208227E-8,1.740497103377696E-7,2.906094815335238E-4,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.219915702728114E-4,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.159485046878518E-8,6.21005548904963E-4,1.6429844154713272E-7,2.593610287382902E-4,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,6.3996539759178E-4,2.608020739043478E-4,1.2255675450105002E-7,6.411360655461876E-4,1.1955308665147944E-7,1.9890661036283552E-7,1.0002513118930479E-4,6.452243557999378E-8,2.0910984067983433E-4
serial,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.219915702728114E-4,8.215249392379616E-8,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,7.166644531925395E-5,2.0713980488299498E-4,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,5.969187376988693E-4,1.0002513118930479E-4,0.0010324234917154806,4.181674169655972E-4
patienc,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,0.001772187465589668,1.6099209770288427E-7,2.309386236196457E-4,1.2186970057223917E-7,1.6438714034151613E-4,1.913331809045659E-7,8.982720389921927E-8,1.5036497338164059E-7,2.148561462568243E-4,2.06932872010984E-7,1.6429844154713272E-7,5.184629555497689E-4,1.1489259378925757E-4,5.046678836320953E-4,3.1852357950428174E-7,3.499580925184209E-7,5.947418401330367E-4,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,6.452243557999378E-8,5.226439407144072E-8
pricey,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,2.4386127084505057E-4,8.215249392379616E-8,1.913331809045659E-7,6.288802544984341E-4,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,2.296704097625419E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,5.947418401330367E-4,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,8.369911596470076E-4,1.9890661036283552E-7,9.992520598332148E-8,6.452243557999378E-8,5.226439407144072E-8
1280x800,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,6.094703725617681E-4,1.6438714034151613E-4,1.9152451408547045E-4,8.982720389921927E-8,1.5051533835502221E-4,7.159485046878518E-8,2.0713980488299498E-4,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,7.821455499750082E-4,1.2267931125555106E-4,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,1.0002513118930479E-4,6.452243557999378E-8,5.2316658465512156E-5
tie,3.9666940465385116E-4,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,8.215249392379616E-8,1.913331809045659E-7,5.390530505992149E-4,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.593610287382902E-4,1.1489259378925757E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,3.206481547507926E-4,1.196726397381309E-4,1.9890661036283552E-7,1.9995033717262625E-4,6.452243557999378E-8,6.272249932513601E-4
narrow,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,8.532097737062465E-4,8.223464641771996E-5,3.8285769499003634E-4,8.991703110311847E-5,1.5036497338164059E-7,7.166644531925395E-5,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1489259378925757E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,0.0010428172880103382,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,6.452243557999378E-8,5.226439407144072E-8
pencil,9.914256552208227E-8,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,9.037595856556816E-4,9.568572377037341E-4,2.69571438901557E-4,1.5036497338164059E-7,7.159485046878518E-8,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1489259378925757E-4,1.6816657235324734E-7,3.1852357950428174E-7,3.499580925184209E-7,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,1.2255675450105002E-7,1.6024395539769746E-7,1.1955308665147944E-7,1.9890661036283552E-7,9.992520598332148E-8,6.452243557999378E-8,5.226439407144072E-8
green,9.914256552208227E-8,1.7422376004810734E-4,2.906094815335238E-4,1.6303944657890254E-7,2.5338660949225216E-4,1.6099209770288427E-7,2.3070791570394178E-7,1.2186970057223917E-7,8.223464641771996E-5,1.913331809045659E-7,8.991703110311847E-5,1.5036497338164059E-7,7.166644531925395E-5,2.06932872010984E-7,1.6429844154713272E-7,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.18842103083786E-4,3.499580925184209E-7,0.0011891864579571614,1.2796748602115175E-7,6.518096809573431E-4,1.2267931125555106E-4,1.6040419935309515E-4,1.196726397381309E-4,1.9890661036283552E-7,1.0002513118930479E-4,6.452243557999378E-8,5.226439407144072E-8
young,5.949545356980158E-4,1.740497103377696E-7,2.9031916237115274E-7,1.6303944657890254E-7,2.53133476016236E-7,1.6115308980058714E-4,2.3070791570394178E-7,1.2186970057223917E-7,8.223464641771996E-5,1.913331809045659E-7,8.982720389921927E-8,0.0010527051786448657,7.166644531925395E-5,2.06932872010984E-7,3.2876118153581254E-4,2.591019268114787E-7,1.1477781597328431E-7,1.6816657235324734E-7,3.1852357950428174E-7,3.503080506109393E-4,2.9722230891206233E-7,1.2796748602115175E-7,1.3033586901766507E-7,1.2267931125555106E-4,1.6024395539769746E-7,4.783318996925692E-4,1.9890661036283552E-7,9.992520598332148E-8,6.452243557999378E-8,5.226439407144072E-8
