,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7
thouht,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,0.00421193200391226,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.853434902026598E-4,4.368515757454763E-7
headphon,0.001227549968155693,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.2429381862288836E-4,6.269171911351402E-7,0.004681392095404208,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,0.0013109915788121743
qualiti,0.0044999257579742685,0.02206043765316444,0.030835822769714537,0.009924032675398573,0.012117684287742922,0.009017499853962059,0.0034106182713850544,0.02591791187177792,0.006269798828542537,0.016968510456045176,5.44630568915646E-7,0.005952621077741191,0.0019447776466570367,0.0016783111972605666,5.847587314711887E-7,0.00655321048775789
scan,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,0.00194414306249346,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,0.008771965730799301,4.368515757454763E-7
long,8.185029944283712E-4,2.1627668016161058E-7,3.715114609428144E-7,4.3189238329089915E-4,4.660468554187501E-7,3.9204816546941696E-7,0.0034106182713850544,0.00194414306249346,0.009404384784218237,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.486912443531135E-4,5.592506488705653E-7,0.0046786546105009805,0.0030583978817940796
1st,4.094560207010492E-4,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.856859751905526E-4,0.009803894871050545,6.613288609866894E-7,0.0038889072501129217,5.592506488705653E-7,5.847587314711887E-7,4.368515757454763E-7
min,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.924402136348863E-4,4.871615871139914E-7,3.2429381862288836E-4,6.269171911351402E-7,5.851008743162365E-7,0.0027236974751471458,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,4.368515757454763E-7
industri,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,0.0030206579175020834,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.2429381862288836E-4,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,4.368515757454763E-7
bother,4.0904697372732194E-7,0.0015141530378114357,0.0018579288161750147,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,0.0012544612994614154,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,4.368515757454763E-7
star,0.0016365969418830153,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,0.0011701022216738485,4.3728842732122173E-4
sticker,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,0.0015685847100431372,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,0.002339619684616226,4.368515757454763E-7
stay,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,0.0012948142280279605,0.00326279403478667,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,0.0021790669062315,0.001984647911821055,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,0.002184694730303127
appear,4.0904697372732194E-7,0.0030280897989427096,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,0.004681392095404208,0.0021790669062315,6.619901898476761E-4,6.486912443531135E-4,5.592506488705653E-7,0.0011701022216738485,4.368515757454763E-7
oper,4.0904697372732194E-7,8.65322997326604E-4,0.003715486120889086,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,0.0022681129112675745,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,4.368515757454763E-7
open,4.0904697372732194E-7,2.1649295684177217E-4,0.0052015319646603435,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,0.00490221975080973,6.613288609866894E-7,6.480432011519616E-7,0.002237561846131132,5.847587314711887E-7,4.368515757454763E-7
stationari,8.185029944283712E-4,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,0.002645976772807745,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,4.368515757454763E-7
project,4.0904697372732194E-7,8.65322997326604E-4,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,0.0011707868495067892,0.0010898057684002075,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,4.368515757454763E-7
3d,8.185029944283712E-4,0.007569900082336531,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,0.002923456684271063,0.010691328979394545,6.275441083262752E-4,5.851008743162365E-7,5.451751994845615E-4,0.0013233190508343655,0.001296734445505075,0.0011190605483900012,5.847587314711887E-7,4.3728842732122173E-4
darker,4.0904697372732194E-7,8.65322997326604E-4,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,0.0015685847100431372,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,4.368515757454763E-7
loos,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.665129022741688E-4,3.9204816546941696E-7,0.0014619719229290882,3.239698487741143E-7,0.003135212872866836,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.853434902026598E-4,4.368515757454763E-7
bare,4.0904697372732194E-7,2.1649295684177217E-4,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,9.748103358150969E-4,0.0012962033649452315,6.269171911351402E-7,5.851008743162365E-7,5.451751994845615E-4,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,0.002339619684616226,4.368515757454763E-7
crank,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,0.0010898057684002075,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,0.002184694730303127
consumerreport,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,0.0053592646198410195,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,4.3728842732122173E-4
trebl,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,0.003915313792742828,5.847587314711887E-7,4.368515757454763E-7
disrupt,0.002863737863064981,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.665129022741688E-4,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,4.368515757454763E-7
investig,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,0.004389047255137116,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,4.368515757454763E-7
internet,4.0904697372732194E-7,2.1627668016161058E-7,0.0018579288161750147,0.0012948142280279605,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,0.008423540037975746,6.269171911351402E-7,5.851008743162365E-7,5.451751994845615E-4,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,0.002184694730303127
allow,0.0020456439156103373,0.001297876357649825,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,0.0016201732137193457,0.003135212872866836,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.853434902026598E-4,4.368515757454763E-7
knock,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.924402136348863E-4,4.871615871139914E-7,0.0012962033649452315,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.853434902026598E-4,4.368515757454763E-7
proper,4.0904697372732194E-7,4.327696370033827E-4,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,6.482636673970027E-4,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,0.001754860953145037,4.368515757454763E-7
mmo,0.0044999257579742685,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.665129022741688E-4,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,4.368515757454763E-7
speed,4.094560207010492E-4,2.1627668016161058E-7,3.715114609428144E-7,4.3189238329089915E-4,4.660468554187501E-7,3.9204816546941696E-7,0.0014619719229290882,3.239698487741143E-7,6.269171911351402E-7,0.0011707868495067892,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,4.368515757454763E-7
recal,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,5.451751994845615E-4,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,0.005263413341972169,4.3728842732122173E-4
peopl,4.0904697372732194E-7,0.0025955364386194882,0.005944554886545973,0.0017262751503964913,4.665129022741688E-4,3.9204816546941696E-7,4.871615871139914E-7,6.482636673970027E-4,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,0.002592820847808999,0.0016783111972605666,0.00935672446227049,8.741400030666981E-4
wiimot,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,0.0010898057684002075,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,0.007017689536385735,4.368515757454763E-7
interest,8.185029944283712E-4,6.490463171649933E-4,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,9.748103358150969E-4,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,4.368515757454763E-7
audiovideodata,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,0.00512698145646167,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.856859751905526E-4,5.44630568915646E-7,6.613288609866894E-7,6.480432011519616E-7,5.592506488705653E-7,5.847587314711887E-7,4.368515757454763E-7
middl,4.0904697372732194E-7,2.1627668016161058E-7,3.715114609428144E-7,4.314609223685307E-7,4.660468554187501E-7,3.9204816546941696E-7,4.871615871139914E-7,3.239698487741143E-7,6.269171911351402E-7,5.851008743162365E-7,5.44630568915646E-7,0.003307305633794434,6.480432011519616E-7,0.0027968124950016977,5.847587314711887E-7,4.368515757454763E-7
