,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12
equip,8.328661648203829E-8,3.869895680456227E-4,1.2999284649365746E-7,8.051265650775531E-4,0.0010473121506310427,1.491929185282835E-7,1.6039184368980795E-7,1.7772308645997116E-7,3.189929644034252E-4,7.102557293478839E-4,1.241044159950239E-7,4.282015396205221E-4,1.4310797024098382E-7,0.0010880324768205323,9.19478424025015E-8,1.311693710074503E-7,4.0709570113179656E-4,9.241519819686859E-8,4.169562485651172E-4,7.755105554353946E-8,1.5935098144126197E-4,9.030774517577687E-4,0.0017137527415160157,1.577602835646441E-7,0.001125459032936276,1.091020454342376E-7
experienc,9.162360679189031E-4,2.5803602987647153E-4,2.601156858338086E-4,5.367734061482794E-4,2.9933889635947955E-4,0.0016412712967296464,3.209440792233057E-4,3.5562389600640227E-4,1.0629555628238095E-7,2.3679136514631147E-4,1.241044159950239E-7,0.0011773669426056893,1.4310797024098382E-7,3.627580783177889E-4,9.19478424025015E-8,1.311693710074503E-7,1.3565334926084525E-7,9.241519819686859E-8,2.085302307870031E-4,0.0015510986619263326,1.5919178965161037E-7,1.8057937447665842E-7,8.569620498271768E-4,1.577602835646441E-7,2.5978790537972186E-4,1.091020454342376E-7
honest,5.830896019907501E-4,1.289535381691512E-7,0.0014300513042767257,5.367734061482794E-4,1.4959465085431262E-7,8.953067040882292E-4,3.209440792233057E-4,1.7772308645997116E-7,1.0629555628238095E-7,5.9183045525196564E-8,1.241044159950239E-7,1.0713065262687892E-4,1.4310797024098382E-7,1.2087906641712392E-7,5.517790022574116E-4,1.311693710074503E-7,1.3578900261010607E-4,9.241519819686859E-8,7.295952752322882E-4,6.980370509473985E-4,1.5919178965161037E-7,1.8057937447665842E-7,1.713581383377678E-7,1.577602835646441E-7,0.0018179959349815193,1.091020454342376E-7
rememb,3.332297525446352E-4,2.5803602987647153E-4,3.9010853232746603E-4,3.355085369513243E-4,1.4974424550516692E-4,1.491929185282835E-7,1.6039184368980795E-7,3.5562389600640227E-4,1.0640185183866331E-4,2.3679136514631147E-4,9.929594323761864E-4,1.0702362899788104E-7,1.4310797024098382E-7,7.253952775691607E-4,9.19478424025015E-8,6.559780244082589E-4,2.714423518709513E-4,0.0010166595953637512,8.338082841213452E-4,3.878328287732408E-4,7.961181400477035E-4,1.8057937447665842E-7,1.713581383377678E-7,1.577602835646441E-7,8.656711275565541E-8,0.0013093336472562854
compat,8.328661648203829E-8,1.289535381691512E-7,2.601156858338086E-4,6.70882897323184E-8,7.481228489224174E-4,1.491929185282835E-7,1.6039184368980795E-7,1.7790080954643113E-4,1.0640185183866331E-4,5.918896382974908E-4,1.241044159950239E-7,3.21177910622641E-4,5.725749889341763E-4,2.4187901190066496E-4,1.8398763264740548E-4,0.002885857331534914,1.3565334926084525E-7,1.8492281159193403E-4,0.0022927904085681436,3.878328287732408E-4,3.1854277109287233E-4,1.8075995385113505E-4,1.7152949647610555E-4,1.577602835646441E-7,6.060563564023435E-4,3.27415238348147E-4
decis,5.830896019907501E-4,1.289535381691512E-7,1.2999284649365746E-7,5.367734061482794E-4,1.4959465085431262E-7,1.491929185282835E-7,1.6039184368980795E-7,3.5562389600640227E-4,1.0629555628238095E-7,7.694387748730804E-4,1.241044159950239E-7,1.0702362899788104E-7,1.4310797024098382E-7,1.2087906641712392E-7,9.19478424025015E-8,1.311693710074503E-7,6.784023996534871E-4,9.241519819686859E-8,1.0421300888905703E-7,0.0011633433842086352,0.002388036036563807,1.8057937447665842E-7,0.0018851108798537835,1.577602835646441E-7,6.060563564023435E-4,1.091020454342376E-7
pull,8.336990309852032E-5,1.289535381691512E-7,1.2999284649365746E-7,6.709499856129163E-4,5.985281980681049E-4,1.491929185282835E-7,1.6039184368980795E-7,5.333469824663734E-4,7.44175189532949E-4,5.9183045525196564E-8,6.206461843911147E-4,1.0702362899788104E-7,1.4310797024098382E-7,1.2087906641712392E-7,9.203979024490398E-5,1.311693710074503E-7,9.497090981751777E-4,1.8492281159193403E-4,0.0011464473107885163,0.0011633433842086352,3.1854277109287233E-4,1.8057937447665842E-7,6.85603911489409E-4,1.5791804384820873E-4,3.4635501813537733E-4,7.638234200850975E-4
trust,3.332297525446352E-4,1.289535381691512E-7,1.2999284649365746E-7,0.002213980649456239,1.4959465085431262E-7,5.969208670316622E-4,1.6039184368980795E-7,1.7772308645997116E-7,0.0015945396397919966,2.3679136514631147E-4,1.241044159950239E-7,1.0702362899788104E-7,1.4310797024098382E-7,0.0010880324768205323,9.203979024490398E-5,1.311693710074503E-7,1.3565334926084525E-7,2.773380097888026E-4,1.0421300888905703E-7,7.755105554353946E-8,1.5919178965161037E-7,1.8057937447665842E-7,1.713581383377678E-7,0.0014200003123653615,4.3292213089103274E-4,1.091020454342376E-7
tough,8.328661648203829E-8,9.028037207222275E-4,1.2999284649365746E-7,6.71553780220507E-5,4.489335472137921E-4,1.491929185282835E-7,1.6039184368980795E-7,1.7772308645997116E-7,0.0041456329905691395,9.469879114486703E-4,4.965417683960908E-4,1.0702362899788104E-7,4.294670186931924E-4,1.2087906641712392E-7,2.75935475049907E-4,1.311693710074503E-7,1.3565334926084525E-7,9.241519819686859E-8,3.127432396760601E-4,3.878328287732408E-4,1.5919178965161037E-7,1.8057937447665842E-7,0.0025705434332048546,1.577602835646441E-7,8.656711275565541E-8,4.3651728378238467E-4
mark,2.499431360625969E-4,5.15943106214774E-4,9.100799183020959E-4,5.367734061482794E-4,1.4974424550516692E-4,4.477279485033787E-4,6.417277666029217E-4,1.7790080954643113E-4,2.1269740812104428E-4,7.694387748730804E-4,1.241044159950239E-7,1.0702362899788104E-7,1.4310797024098382E-7,8.462743439862846E-4,9.19478424025015E-8,2.62469911385908E-4,1.3578900261010607E-4,9.241519819686859E-8,1.0421300888905703E-7,7.755105554353946E-8,1.5919178965161037E-7,0.0012642362007110855,0.0010283201881649447,4.734386109774969E-4,0.0015582945967145532,2.183131929139094E-4
mechan,8.328661648203829E-8,1.289535381691512E-7,1.2999284649365746E-7,0.0010734797240068267,1.4959465085431262E-7,0.001492078378201363,1.6039184368980795E-7,3.5562389600640227E-4,1.0629555628238095E-7,3.551574561967046E-4,1.241044159950239E-7,0.0020335559745887377,8.587909294161439E-4,1.2087906641712392E-7,9.19478424025015E-8,1.311693710074503E-7,2.714423518709513E-4,9.241519819686859E-8,1.0421300888905703E-7,0.001085792328665096,1.5935098144126197E-4,1.8075995385113505E-4,1.713581383377678E-7,0.0012622400288007174,4.3292213089103274E-4,2.183131929139094E-4
excit,3.332297525446352E-4,5.15943106214774E-4,0.0011700656112894107,5.367734061482794E-4,1.4959465085431262E-7,0.0016412712967296464,1.6039184368980795E-7,1.7772308645997116E-7,0.0013819485272272348,1.7760831962111486E-4,1.2422852041101893E-4,1.0713065262687892E-4,1.4310797024098382E-7,0.0012089115432376563,9.19478424025015E-8,3.936392823933583E-4,1.3565334926084525E-7,6.46998802576277E-4,1.0421300888905703E-7,7.755105554353946E-8,7.961181400477035E-4,5.419187028044519E-4,5.142457731516411E-4,1.5791804384820873E-4,8.656711275565541E-8,2.183131929139094E-4
shut,8.328661648203829E-8,1.289535381691512E-7,1.2999284649365746E-7,6.70882897323184E-8,5.985281980681049E-4,1.491929185282835E-7,1.6055223553349774E-4,1.7790080954643113E-4,0.0014882440835096156,5.9183045525196564E-8,6.206461843911147E-4,0.002782721377573905,7.156829591751601E-4,1.2087906641712392E-7,2.75935475049907E-4,5.248086534008087E-4,2.714423518709513E-4,9.241519819686859E-8,6.253822663432312E-4,7.755105554353946E-8,3.1854277109287233E-4,3.6133932832779346E-4,1.713581383377678E-7,1.5791804384820873E-4,8.665367986841105E-5,0.001418435692690523
remot,8.336990309852032E-5,2.5803602987647153E-4,6.50094225314781E-4,2.013319574866875E-4,1.4959465085431262E-7,1.491929185282835E-7,3.209440792233057E-4,1.7772308645997116E-7,1.0629555628238095E-7,5.327065927722942E-4,1.2422852041101893E-4,1.0702362899788104E-7,2.863590484522086E-4,1.2099994548354104E-4,9.19478424025015E-8,0.003672873557579616,1.3578900261010607E-4,9.250761339506544E-5,1.0431722189794607E-4,0.0010082412731215564,3.1854277109287233E-4,0.0018059743241410607,1.713581383377678E-7,1.577602835646441E-7,5.194892436466882E-4,0.0015275377381247606
watch,8.328661648203829E-8,6.448966443839252E-4,6.50094225314781E-4,6.70882897323184E-8,0.0023936640083198563,5.969208670316622E-4,9.625114539825376E-4,1.7772308645997116E-7,1.0629555628238095E-7,5.924222857072175E-5,1.2422852041101893E-4,1.0713065262687892E-4,1.4325107821122477E-4,6.045162111520368E-4,9.19478424025015E-8,0.0010494861374306097,1.3565334926084525E-7,9.241519819686859E-8,1.0421300888905703E-7,1.5517966214262244E-4,0.0012736935090025344,0.0012642362007110855,1.713581383377678E-7,1.577602835646441E-7,7.791905819136543E-4,7.638234200850975E-4
finder,2.499431360625969E-4,1.289535381691512E-7,1.2999284649365746E-7,6.70882897323184E-8,2.9933889635947955E-4,1.491929185282835E-7,0.0032079972656398493,1.7772308645997116E-7,1.0629555628238095E-7,8.878048659234736E-4,8.688550163811625E-4,5.352251686184032E-4,4.294670186931924E-4,1.2087906641712392E-7,9.19478424025015E-8,2.62469911385908E-4,1.3578900261010607E-4,9.250761339506544E-5,1.0421300888905703E-7,7.755105554353946E-8,1.5935098144126197E-4,0.004334085566814278,1.713581383377678E-7,3.156783274128528E-4,3.4635501813537733E-4,0.001418435692690523
70d,8.328661648203829E-8,1.289535381691512E-7,1.2999284649365746E-7,1.3424366775436911E-4,1.4959465085431262E-7,1.491929185282835E-7,1.6055223553349774E-4,1.7772308645997116E-7,1.0629555628238095E-7,7.102557293478839E-4,1.241044159950239E-7,1.0702362899788104E-7,1.4325107821122477E-4,6.045162111520368E-4,9.19478424025015E-8,1.311693710074503E-7,1.3565334926084525E-7,3.6975320798567123E-4,1.0421300888905703E-7,0.006979672549974094,4.777345607444827E-4,7.224980772811104E-4,1.713581383377678E-7,1.577602835646441E-7,0.007358291151343466,3.27415238348147E-4
fall,4.165163690266735E-4,0.0010317572588913787,1.2999284649365746E-7,6.70882897323184E-8,1.4974424550516692E-4,2.985350299750952E-4,1.6039184368980795E-7,5.333469824663734E-4,8.504707458153299E-4,9.469879114486703E-4,4.965417683960908E-4,9.633196846099271E-4,2.863590484522086E-4,1.2087906641712392E-7,9.19478424025015E-8,1.311693710074503E-7,2.714423518709513E-4,9.241519819686859E-8,1.0421300888905703E-7,7.762860659908299E-5,6.369263503960931E-4,5.419187028044519E-4,0.002056469018191551,1.577602835646441E-7,8.657576946693097E-4,4.3651728378238467E-4
practic,8.328661648203829E-8,0.00116071079706053,1.2999284649365746E-7,2.684202472190059E-4,1.4959465085431262E-7,1.4934211144681175E-4,1.6055223553349774E-4,1.7772308645997116E-7,1.0629555628238095E-7,8.286218203982771E-4,1.241044159950239E-7,1.0702362899788104E-7,1.4325107821122477E-4,1.2087906641712392E-7,0.001011518214269919,1.311693710074503E-7,1.3565334926084525E-7,0.001293905189954357,2.085302307870031E-4,5.429349398603197E-4,0.0015920770883057552,1.8057937447665842E-7,1.713581383377678E-7,1.577602835646441E-7,7.791905819136543E-4,9.820275109535725E-4
cannon,8.328661648203829E-8,1.289535381691512E-7,1.2999284649365746E-7,6.70882897323184E-8,1.4959465085431262E-7,4.477279485033787E-4,6.417277666029217E-4,0.0012442393283062581,4.252885206858062E-4,1.7760831962111486E-4,1.2422852041101893E-4,1.0702362899788104E-7,2.863590484522086E-4,0.00471440446933425,9.203979024490398E-5,1.311693710074503E-7,1.3565334926084525E-7,9.250761339506544E-5,5.211692574541742E-4,4.6538388431678027E-4,0.001910460667608976,1.8057937447665842E-7,8.569620498271768E-4,1.577602835646441E-7,8.656711275565541E-8,3.27415238348147E-4
