,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12
text,3.357843463986239E-8,6.341548576991378E-8,8.167920020380594E-8,1.399380550205646E-7,1.5535141344153248E-7,1.844474839686391E-4,3.347609371137422E-4,7.307110047473568E-4,1.7563386842416395E-4,1.1442931981267004E-7,8.324302159182467E-8,5.812257458128933E-8,1.9617610516215703E-4,6.530779904953338E-5,9.960735775645982E-8,2.0523686489195614E-7,2.003037004706536E-7,2.9564639981031327E-7,1.620635486828366E-7,2.2497253614879172E-4,2.232432375716583E-7,2.4150860686707575E-4,1.944610114422804E-7,1.156815744354826E-7,1.3686595307496053E-7,1.3769516740909607E-7
thread,3.357843463986239E-8,1.2689438702559745E-4,1.6344007960781567E-4,1.399380550205646E-7,1.5535141344153248E-7,1.8426322074789125E-7,6.700573846247868E-5,1.4611297835380059E-7,8.777304768823785E-8,3.434023887578228E-4,8.324302159182467E-8,5.812257458128933E-8,9.803903306454625E-8,6.524255649304034E-8,9.960735775645982E-8,2.0523686489195614E-7,2.003037004706536E-7,0.0020698204450720036,1.620635486828366E-7,1.1254248310091979E-4,4.4670971838088825E-4,1.2069395645531023E-7,1.944610114422804E-7,1.156815744354826E-7,1.3700281902803547E-4,1.3783286257650515E-4
stellar,1.0076888235422703E-4,6.341548576991378E-8,8.167920020380594E-8,1.399380550205646E-7,6.215610051795715E-4,1.8426322074789125E-7,6.693879966281588E-8,1.4611297835380059E-7,8.777304768823785E-8,3.434023887578228E-4,8.324302159182467E-8,1.7442584631844927E-4,1.9617610516215703E-4,6.530779904953338E-5,9.970696511421626E-5,4.1067896664880423E-4,2.003037004706536E-7,2.9564639981031327E-7,1.620635486828366E-7,2.2497253614879172E-4,2.232432375716583E-7,1.2069395645531023E-7,1.944610114422804E-7,1.156815744354826E-7,1.3686595307496053E-7,1.3783286257650515E-4
sd400,1.0076888235422703E-4,6.341548576991378E-8,8.167920020380594E-8,1.399380550205646E-7,4.66209591738039E-4,1.8426322074789125E-7,1.3394453812529456E-4,7.307110047473568E-4,8.777304768823785E-8,1.1442931981267004E-7,8.324302159182467E-8,5.812257458128933E-8,9.803903306454625E-8,6.524255649304034E-8,9.960735775645982E-8,2.0523686489195614E-7,2.003037004706536E-7,2.9564639981031327E-7,4.8635270959719265E-4,1.1243005304787194E-7,0.0020094123813824962,1.2069395645531023E-7,1.944610114422804E-7,1.156815744354826E-7,1.3686595307496053E-7,9.640038670310815E-4
visit,6.719044771436464E-5,6.341548576991378E-8,3.267984800154276E-4,1.399380550205646E-7,1.5535141344153248E-7,1.8426322074789125E-7,6.693879966281588E-8,2.92372069685955E-4,8.777304768823785E-8,1.1454374913248271E-4,8.332626461341649E-5,5.812257458128933E-8,9.813707209761079E-5,1.3055035554257374E-4,9.960735775645982E-8,2.0523686489195614E-7,2.0050400417112425E-4,2.9564639981031327E-7,1.620635486828366E-7,1.1243005304787194E-7,2.232432375716583E-7,2.4150860686707575E-4,1.944610114422804E-7,1.156815744354826E-7,4.1073472517795653E-4,1.3783286257650515E-4
heat,1.0076888235422703E-4,6.341548576991378E-8,5.718360806268454E-4,1.399380550205646E-7,1.5535141344153248E-7,1.844474839686391E-4,6.693879966281588E-8,1.4611297835380059E-7,8.777304768823785E-8,1.1442931981267004E-7,8.324302159182467E-8,5.818069715587061E-5,9.813707209761079E-5,6.530779904953338E-5,1.9931432287067607E-4,2.0523686489195614E-7,2.003037004706536E-7,2.9564639981031327E-7,4.8635270959719265E-4,1.1243005304787194E-7,2.232432375716583E-7,1.2069395645531023E-7,1.944610114422804E-7,1.156815744354826E-7,1.3686595307496053E-7,5.509183648037934E-4
4x6,3.357843463986239E-8,1.2689438702559745E-4,8.167920020380594E-8,2.8001604809614974E-4,1.5535141344153248E-7,3.6871070471653037E-4,2.6782213745092637E-4,1.4611297835380059E-7,8.777304768823785E-8,1.1454374913248271E-4,3.3305532938889053E-4,5.812257458128933E-8,9.803903306454625E-8,6.524255649304034E-8,9.960735775645982E-8,2.0523686489195614E-7,4.0080770464177786E-4,2.9564639981031327E-7,4.8635270959719265E-4,1.1243005304787194E-7,2.232432375716583E-7,1.2069395645531023E-7,1.944610114422804E-7,1.1579725600991806E-4,1.3686595307496053E-7,1.3769516740909607E-7
input,3.357843463986239E-8,6.341548576991378E-8,8.176087940400974E-5,1.399380550205646E-7,1.5535141344153248E-7,1.8426322074789125E-7,2.0088333778811045E-4,1.4611297835380059E-7,8.786082073592608E-5,1.1442931981267004E-7,8.332626461341649E-5,5.812257458128933E-8,9.803903306454625E-8,6.524255649304034E-8,7.969584694094349E-4,2.0523686489195614E-7,2.003037004706536E-7,2.9564639981031327E-7,1.620635486828366E-7,1.1243005304787194E-7,2.232432375716583E-7,3.6220256332238597E-4,1.944610114422804E-7,4.628419793163659E-4,1.3686595307496053E-7,1.3769516740909607E-7
demand,1.0076888235422703E-4,6.341548576991378E-8,8.167920020380594E-8,1.399380550205646E-7,1.5535141344153248E-7,3.6871070471653037E-4,6.693879966281588E-8,1.4611297835380059E-7,8.777304768823785E-8,1.1442931981267004E-7,8.324302159182467E-8,2.3254842089973863E-4,9.803903306454625E-8,1.9579291203561408E-4,9.960735775645982E-8,2.0544210175684808E-4,2.003037004706536E-7,2.9564639981031327E-7,6.484162582800294E-4,1.1243005304787194E-7,2.232432375716583E-7,1.2069395645531023E-7,1.944610114422804E-7,1.156815744354826E-7,4.1073472517795653E-4,1.3769516740909607E-7
predecessor,1.6792575163395183E-4,2.53725358565425E-4,2.451192798116216E-4,1.399380550205646E-7,1.5535141344153248E-7,1.8426322074789125E-7,6.693879966281588E-8,1.4611297835380059E-7,8.777304768823785E-8,1.1442931981267004E-7,8.324302159182467E-8,1.7442584631844927E-4,9.803903306454625E-8,6.530779904953338E-5,9.960735775645982E-8,2.0523686489195614E-7,2.003037004706536E-7,5.915884460204368E-4,1.620635486828366E-7,1.1243005304787194E-7,2.232432375716583E-7,1.2069395645531023E-7,1.944610114422804E-7,1.156815744354826E-7,5.476006782529171E-4,1.3769516740909607E-7
