,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7
basement,2.612664888147774E-4,3.799169162314701E-5,1.9098998234949626E-4,2.405512580217491E-4,2.042209843900584E-4,7.255385055619057E-8,1.1649762472992939E-7,1.0747065030275557E-7,7.771054779253088E-8,4.53838580327568E-8,5.910072572145143E-8,2.1634651083758324E-4,1.316020239102866E-4,1.0374921255280482E-4,1.0735429469729841E-4,1.1316997473819825E-7
gimmick,6.5300297129412E-8,3.795373788526175E-8,6.364211341202808E-8,1.6038086707965643E-4,6.805097780408478E-8,2.1773410551912786E-4,1.166141223546593E-4,1.0747065030275557E-7,2.3320935392538513E-4,4.53838580327568E-8,1.182605521686243E-4,7.209147312148725E-8,1.316020239102866E-4,5.183314804960809E-4,2.146013423469472E-4,1.1316997473819825E-7
penni,6.5300297129412E-8,3.795373788526175E-8,6.364211341202808E-8,4.008519547104634E-8,5.444758734104823E-4,2.1773410551912786E-4,4.661069965444475E-4,3.2251942155856947E-4,7.771054779253088E-8,4.53838580327568E-8,5.910072572145143E-8,7.209147312148725E-8,1.3147055335692967E-7,1.0364556698581902E-7,1.0724704764964879E-7,1.1316997473819825E-7
degrad,6.5300297129412E-8,1.138991673936705E-4,6.37057555254401E-5,3.608068444348881E-4,6.805097780408478E-8,7.255385055619057E-8,1.1649762472992939E-7,1.0747065030275557E-7,3.1091990171791604E-4,4.53838580327568E-8,5.910072572145143E-8,7.209147312148725E-8,1.3147055335692967E-7,2.0739477953862382E-4,1.0724704764964879E-7,1.1328314471293642E-4
endless,6.53655974265414E-5,7.594542950840876E-5,6.364211341202808E-8,4.008519547104634E-8,6.805097780408478E-8,7.262640440674674E-5,1.1649762472992939E-7,1.0747065030275557E-7,7.771054779253088E-8,4.538839641856007E-4,5.910072572145143E-8,7.209147312148725E-8,2.630725772672163E-4,1.0364556698581902E-7,3.2184838999659596E-4,3.396230941893329E-4
everyday,1.959661916853654E-4,3.0366785681997926E-4,6.364211341202808E-8,4.008519547104634E-8,2.042209843900584E-4,1.451802549629373E-4,1.1649762472992939E-7,1.0747065030275557E-7,7.778825834032338E-5,9.081309992354635E-5,5.910072572145143E-8,7.209147312148725E-8,2.630725772672163E-4,1.0364556698581902E-7,1.0724704764964879E-7,1.1316997473819825E-7
stretch,6.5300297129412E-8,3.795373788526175E-8,1.273478689374682E-4,7.616587991453516E-4,1.3617000658597362E-4,7.255385055619057E-8,1.1649762472992939E-7,1.0757812095305831E-4,7.771054779253088E-8,4.53838580327568E-8,5.910072572145143E-8,2.1634651083758324E-4,2.630725772672163E-4,1.0364556698581902E-7,1.0735429469729841E-4,1.1316997473819825E-7
logic,1.959661916853654E-4,7.594542950840876E-5,1.9098998234949626E-4,4.008519547104634E-8,6.811902878188885E-5,7.255385055619057E-8,1.166141223546593E-4,1.0757812095305831E-4,7.771054779253088E-8,1.3619695795630314E-4,5.910072572145143E-8,1.44255037716096E-4,2.630725772672163E-4,1.0364556698581902E-7,2.146013423469472E-4,2.2645311945113466E-4
harmoni,6.53655974265414E-5,3.795373788526175E-8,6.364211341202808E-8,4.008519547104634E-8,6.805097780408478E-8,1.451802549629373E-4,2.3311174708458868E-4,1.0747065030275557E-7,0.0010103148318506938,4.53838580327568E-8,1.182605521686243E-4,1.44255037716096E-4,1.3147055335692967E-7,1.0364556698581902E-7,1.0735429469729841E-4,1.1316997473819825E-7
snow,6.5300297129412E-8,3.795373788526175E-8,6.364211341202808E-8,4.008519547104634E-8,6.805097780408478E-8,7.255385055619057E-8,1.1649762472992939E-7,1.0757812095305831E-4,7.771054779253088E-8,9.081309992354635E-5,5.915982644717287E-5,7.930782958094812E-4,5.260136839810756E-4,1.0364556698581902E-7,1.0724704764964879E-7,1.1316997473819825E-7
june,6.5300297129412E-8,3.795373788526175E-8,1.9098998234949626E-4,1.2029567160861006E-4,6.805097780408478E-8,7.255385055619057E-8,1.1649762472992939E-7,1.0747065030275557E-7,7.771054779253088E-8,4.53838580327568E-8,2.955627293329786E-4,7.209147312148725E-8,1.3147055335692967E-7,1.0374921255280482E-4,7.508365805951911E-4,1.1316997473819825E-7
abc,3.265667859441894E-4,3.795753325905027E-4,6.364211341202808E-8,8.021047613756372E-5,6.805097780408478E-8,7.262640440674674E-5,1.1649762472992939E-7,1.0747065030275557E-7,7.771054779253088E-8,4.53838580327568E-8,5.910072572145143E-8,7.209147312148725E-8,1.3147055335692967E-7,1.0364556698581902E-7,1.0724704764964879E-7,1.1316997473819825E-7
louder,6.53655974265414E-5,3.795373788526175E-8,6.364211341202808E-8,4.008519547104634E-8,6.805097780408478E-8,7.255385055619057E-8,1.166141223546593E-4,1.0747065030275557E-7,7.778825834032338E-5,4.53838580327568E-8,5.915982644717287E-5,2.8843798395907053E-4,6.574842373380053E-4,1.0364556698581902E-7,1.0735429469729841E-4,5.659630436657295E-4
chrome,6.5300297129412E-8,4.93436546246288E-4,6.364211341202808E-8,8.021047613756372E-5,6.805097780408478E-8,7.255385055619057E-8,1.1649762472992939E-7,1.0747065030275557E-7,7.771054779253088E-8,1.8158081598905996E-4,5.910072572145143E-8,7.209147312148725E-8,1.3147055335692967E-7,1.0364556698581902E-7,1.0735429469729841E-4,1.1316997473819825E-7
freight,6.5300297129412E-8,3.795373788526175E-8,3.8191632258558053E-4,4.008519547104634E-8,6.811902878188885E-5,7.255385055619057E-8,1.1649762472992939E-7,1.0747065030275557E-7,7.771054779253088E-8,9.081309992354635E-5,4.728649064973328E-4,1.44255037716096E-4,1.3147055335692967E-7,1.0364556698581902E-7,1.0724704764964879E-7,1.1328314471293642E-4
doa,6.5300297129412E-8,3.795373788526175E-8,6.37057555254401E-5,4.0125280666517384E-5,6.805097780408478E-8,7.255385055619057E-8,3.4960937181451805E-4,1.0757812095305831E-4,7.778825834032338E-5,4.53838580327568E-8,5.910663579402356E-4,7.209147312148725E-8,1.3147055335692967E-7,1.0364556698581902E-7,1.0735429469729841E-4,1.1328314471293642E-4
strip,2.612664888147774E-4,3.799169162314701E-5,6.364211341202808E-8,1.2029567160861006E-4,6.805097780408478E-8,7.255385055619057E-8,1.1649762472992939E-7,1.0747065030275557E-7,7.778825834032338E-5,4.53838580327568E-8,5.910072572145143E-8,7.20986822687994E-4,1.3147055335692967E-7,1.0364556698581902E-7,2.146013423469472E-4,1.1316997473819825E-7
platform,6.53655974265414E-5,2.2776038104945577E-4,6.37057555254401E-5,4.008519547104634E-8,6.811902878188885E-5,7.255385055619057E-8,1.1649762472992939E-7,1.0747065030275557E-7,7.771054779253088E-8,4.085001061528439E-4,5.910072572145143E-8,7.209147312148725E-8,1.3147055335692967E-7,2.0739477953862382E-4,1.0735429469729841E-4,1.1316997473819825E-7
studi,6.5300297129412E-8,3.795373788526175E-8,5.728426628216647E-4,3.2072164896384175E-4,6.805097780408478E-8,7.255385055619057E-8,1.1649762472992939E-7,1.0747065030275557E-7,7.771054779253088E-8,9.081309992354635E-5,5.910072572145143E-8,7.216356459460873E-5,1.3147055335692967E-7,1.0364556698581902E-7,1.0724704764964879E-7,1.1328314471293642E-4
hdx,6.5300297129412E-8,2.657141189347175E-4,6.364211341202808E-8,4.008519547104634E-8,6.811902878188885E-5,7.255385055619057E-8,1.1649762472992939E-7,1.0747065030275557E-7,7.778825834032338E-5,4.53838580327568E-8,5.910072572145143E-8,7.209147312148725E-8,1.3147055335692967E-7,1.0364556698581902E-7,1.0735429469729841E-4,0.0015844928163095135
breathtak,2.612664888147774E-4,3.795373788526175E-8,6.364211341202808E-8,1.6038086707965643E-4,3.4032293999822796E-4,7.255385055619057E-8,1.1649762472992939E-7,1.0747065030275557E-7,7.771054779253088E-8,4.53838580327568E-8,5.910072572145143E-8,2.1634651083758324E-4,1.3147055335692967E-7,3.110403465244428E-4,1.0724704764964879E-7,1.1316997473819825E-7
fiddl,6.5300297129412E-8,3.795373788526175E-8,6.364211341202808E-8,2.405512580217491E-4,1.3617000658597362E-4,1.451802549629373E-4,1.1649762472992939E-7,1.0747065030275557E-7,7.771054779253088E-8,1.3619695795630314E-4,5.910072572145143E-8,7.209147312148725E-8,1.3147055335692967E-7,8.292681814535378E-4,1.0724704764964879E-7,1.1316997473819825E-7
ident,6.5300297129412E-8,3.799169162314701E-5,1.273478689374682E-4,1.6038086707965643E-4,3.4032293999822796E-4,7.262640440674674E-5,1.1649762472992939E-7,2.1504877125581387E-4,7.771054779253088E-8,4.53838580327568E-8,5.910072572145143E-8,1.44255037716096E-4,2.630725772672163E-4,1.0364556698581902E-7,2.146013423469472E-4,1.1316997473819825E-7
mid,6.5300297129412E-8,3.795373788526175E-8,3.1827420917355246E-4,4.4097723537698077E-4,6.805097780408478E-8,7.255385055619057E-8,1.1649762472992939E-7,1.0747065030275557E-7,7.771054779253088E-8,4.542924189078955E-5,5.910072572145143E-8,1.44255037716096E-4,1.3147055335692967E-7,1.0364556698581902E-7,1.0735429469729841E-4,1.1316997473819825E-7
shipper,6.5300297129412E-8,3.795373788526175E-8,3.1827420917355246E-4,4.008519547104634E-8,6.805097780408478E-8,7.255385055619057E-8,1.1649762472992939E-7,1.0747065030275557E-7,7.771054779253088E-8,4.53838580327568E-8,6.501670836616871E-4,7.216356459460873E-5,2.630725772672163E-4,1.0374921255280482E-4,1.0724704764964879E-7,1.1316997473819825E-7
charact,6.5300297129412E-8,3.795373788526175E-8,6.364211341202808E-8,3.2072164896384175E-4,6.805097780408478E-8,7.255385055619057E-8,1.166141223546593E-4,1.0757812095305831E-4,7.771054779253088E-8,2.723485320545736E-4,5.910072572145143E-8,1.44255037716096E-4,1.3147055335692967E-7,4.146859135102619E-4,1.0724704764964879E-7,1.1316997473819825E-7
trumot,6.5300297129412E-8,3.795373788526175E-8,6.37057555254401E-5,2.806364534927954E-4,1.3617000658597362E-4,7.255385055619057E-8,1.1649762472992939E-7,1.0747065030275557E-7,7.771054779253088E-8,4.53838580327568E-8,5.910072572145143E-8,2.1634651083758324E-4,1.3147055335692967E-7,0.002280306119255004,1.0724704764964879E-7,1.1316997473819825E-7
row,6.53655974265414E-5,1.5185290527893226E-4,6.37057555254401E-5,4.008519547104634E-8,6.805097780408478E-8,7.255385055619057E-8,1.1649762472992939E-7,1.0757812095305831E-4,7.771054779253088E-8,1.8158081598905996E-4,2.3646200361152717E-4,7.216356459460873E-5,5.260136839810756E-4,1.0364556698581902E-7,1.0735429469729841E-4,1.1316997473819825E-7
slide,6.5300297129412E-8,1.8980664316419401E-4,6.364211341202808E-8,4.0125280666517384E-5,6.805097780408478E-8,7.262640440674674E-5,1.1649762472992939E-7,1.0747065030275557E-7,7.771054779253088E-8,4.53838580327568E-8,5.910072572145143E-8,7.930782958094812E-4,1.3147055335692967E-7,1.0364556698581902E-7,2.146013423469472E-4,1.1316997473819825E-7
explor,6.5300297129412E-8,4.1752907047576447E-4,2.546320957615244E-4,4.008519547104634E-8,6.805097780408478E-8,7.255385055619057E-8,2.3311174708458868E-4,1.0747065030275557E-7,7.771054779253088E-8,4.53838580327568E-8,1.773612778900757E-4,7.209147312148725E-8,1.3147055335692967E-7,1.0364556698581902E-7,1.0724704764964879E-7,1.1316997473819825E-7
thread,6.5300297129412E-8,7.594542950840876E-5,6.364211341202808E-8,4.008519547104634E-8,6.805097780408478E-8,1.451802549629373E-4,3.4960937181451805E-4,1.0747065030275557E-7,1.5549880613285427E-4,9.081309992354635E-5,5.910072572145143E-8,7.20986822687994E-4,1.316020239102866E-4,1.0364556698581902E-7,1.0724704764964879E-7,1.1316997473819825E-7
