,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7
station,0.0017359922486185875,2.1113237117315718E-4,0.0013374438168967748,1.0406301556720276E-7,1.0153610638143777E-4,1.0786832556645434E-7,1.1440572682381129E-4,2.635794350775131E-4,8.281188072240448E-8,3.752937399563336E-4,4.964819337610031E-4,0.0010095495120546745,1.941067860275713E-4,2.905473284242139E-4,0.0013960232009028726,7.626856357770341E-8
negat,5.555647366584264E-4,2.955684324301686E-4,3.934213592318552E-4,4.1635612528437825E-4,0.002130229540575999,2.158445194584751E-4,3.42988597600657E-4,8.783053484755517E-8,5.797659769375537E-4,2.252062614694975E-4,4.4132340317984506E-4,7.21055290375455E-8,3.23468189578102E-4,7.261867743669431E-8,4.6541861734958703E-4,7.627619043406117E-4
rca,0.00395797344760242,2.533504018016629E-4,3.1475282109311197E-4,2.082300941499727E-4,4.0584012151062196E-4,5.394494961578381E-4,0.0010287372099311942,7.905626441628441E-4,4.141422154927448E-4,2.252062614694975E-4,5.521368911173915E-5,2.8849422167921956E-4,5.175102949038981E-4,7.261867743669431E-8,8.143953361820691E-4,3.0515052287439137E-4
aspect,4.166909117219369E-4,8.021847999722374E-4,1.5741574481562532E-4,2.082300941499727E-4,8.115788083495341E-4,0.0019417377285217445,1.1429143538842287E-7,8.783053484755517E-8,4.969540962151493E-4,7.511878298266144E-5,6.06798994923319E-4,0.0010095495120546745,1.941067860275713E-4,5.084033607342969E-4,3.4909304440542625E-4,5.339562136075015E-4
hassl,1.3894326184895776E-4,2.533504018016629E-4,1.5741574481562532E-4,0.0013529232653892028,1.0143467170972805E-7,1.0797619389202078E-4,0.0010287372099311942,4.3924050477262347E-4,8.281188072240448E-8,0.0018011247855812761,1.1037221969289714E-4,3.6059975071676503E-4,4.528295931286327E-4,2.179286509875196E-4,1.1644189851710485E-4,2.288819592966879E-4
sort,4.166909117219369E-4,4.222225243156858E-4,4.7208989737059854E-4,3.1229310971717545E-4,2.0297077809116582E-4,2.158445194584751E-4,1.1429143538842287E-7,9.662237138579544E-4,6.625778576599582E-4,3.752937399563336E-4,4.4132340317984506E-4,0.0010095495120546745,3.23468189578102E-4,5.084033607342969E-4,3.4909304440542625E-4,7.634483214128109E-5
fan,3.472539992536921E-4,2.533504018016629E-4,5.507584355093418E-4,3.1229310971717545E-4,4.0584012151062196E-4,3.2371284502492946E-4,3.42988597600657E-4,0.00122971531840062,0.0010766372612719805,3.752937399563336E-4,3.3100634201752916E-4,1.4428316360412852E-4,8.409138037802248E-4,4.3578468329760257E-4,0.0010470464820703904,9.152990314960185E-4
wash,2.0838017431720253E-4,1.6891434054465144E-4,7.874720667688203E-5,1.0406301556720276E-7,3.0440544980089385E-4,6.473178217242925E-4,2.2869716221223416E-4,3.514099699250683E-4,2.4851845404793584E-4,7.504373924341803E-8,0.003144091401656587,1.4428316360412852E-4,2.587874878028367E-4,1.4530997355082528E-4,1.1632557294416071E-7,2.288819592966879E-4
claim,4.8612782419018164E-4,5.488766162012029E-4,3.934213592318552E-4,6.244821564187837E-4,4.0584012151062196E-4,9.709227984236554E-4,9.144457745427713E-4,7.027321093152889E-4,5.797659769375537E-4,4.503374791997516E-4,5.5158530581157994E-8,7.217763456658303E-5,0.0010349559091060209,7.269129611413099E-5,1.1632557294416071E-7,7.626856357770341E-8
separ,0.0011804969488726294,3.8000449368718003E-4,7.874720667688203E-5,1.0416707858276994E-4,1.0153610638143777E-4,1.0786832556645434E-7,0.0018287772576501544,4.3924050477262347E-4,6.625778576599582E-4,7.504373924341803E-8,5.5158530581157994E-8,8.653384539795834E-4,6.468716984544288E-4,5.81022038170991E-4,1.1632557294416071E-7,1.526133957189845E-4
retail,1.3894326184895776E-4,8.447827928763996E-5,7.874720667688203E-5,0.0013529232653892028,0.0010144481517689902,1.0786832556645434E-7,1.1440572682381129E-4,4.3924050477262347E-4,8.281188072240448E-8,0.00127581861087735,3.8616487259868714E-4,3.6059975071676503E-4,8.409138037802248E-4,7.261867743669431E-8,3.4909304440542625E-4,7.627619043406117E-4
forward,3.472539992536921E-4,2.1113237117315718E-4,9.441011262030582E-4,1.0416707858276994E-4,4.0584012151062196E-4,1.0797619389202078E-4,8.001543391543486E-4,8.783053484755517E-8,3.313303347703403E-4,3.002500007129156E-4,3.3100634201752916E-4,0.001225866099167311,3.23468189578102E-4,3.631660058609082E-4,0.0010470464820703904,1.526133957189845E-4
adapt,4.8612782419018164E-4,8.866208612292489E-4,3.934213592318552E-4,3.1229310971717545E-4,1.0143467170972805E-7,0.0014023961006894728,0.002400234434592269,8.783053484755517E-8,4.141422154927448E-4,3.002500007129156E-4,2.7584781143637113E-4,2.1638869264167403E-4,1.941067860275713E-4,5.084033607342969E-4,3.4909304440542625E-4,4.5768765002979813E-4
beat,6.943691246824476E-8,2.1113237117315718E-4,7.86685381387433E-8,0.0011447972342547973,1.0143467170972805E-7,4.3158117059138385E-4,2.2869716221223416E-4,2.635794350775131E-4,5.797659769375537E-4,9.005999146602597E-4,5.5158530581157994E-8,1.4428316360412852E-4,1.941067860275713E-4,7.262593930443797E-4,6.980697632379084E-4,6.864933407629083E-4
agre,2.0838017431720253E-4,2.533504018016629E-4,4.7208989737059854E-4,2.082300941499727E-4,0.0012173174951884463,4.3158117059138385E-4,5.715714683775028E-4,3.514099699250683E-4,4.141422154927448E-4,5.253812184431696E-4,3.8616487259868714E-4,7.21055290375455E-8,0.0013583594179823477,7.269129611413099E-5,2.3276747146126555E-4,7.634483214128109E-5
posit,2.7781708678544735E-4,1.2669630991614568E-4,2.3608428295436863E-4,1.0406301556720276E-7,0.0015216215103176305,6.473178217242925E-4,8.001543391543486E-4,8.783053484755517E-8,7.453897383823626E-4,6.004249576865876E-4,4.4132340317984506E-4,0.0010095495120546745,4.528295931286327E-4,7.261867743669431E-8,9.307209091262297E-4,7.634483214128109E-5
produc,6.250016491266711E-4,1.2669630991614568E-4,3.934213592318552E-4,7.285451719859865E-4,7.101441366398061E-4,9.709227984236554E-4,1.1440572682381129E-4,8.783931790103993E-4,5.797659769375537E-4,7.511878298266144E-5,0.001048067239572583,2.1638869264167403E-4,1.2942608425230596E-4,2.179286509875196E-4,6.980697632379084E-4,0.0010678361586514253
speed,6.943691246824476E-8,0.0016465454125423518,7.080955117868284E-4,4.1635612528437825E-4,1.0153610638143777E-4,1.0786832556645434E-7,1.1429143538842287E-7,8.791836538240273E-5,9.110134998271715E-4,6.004249576865876E-4,3.3100634201752916E-4,1.4428316360412852E-4,1.2942608425230596E-4,2.905473284242139E-4,4.6541861734958703E-4,3.0515052287439137E-4
