,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7
station,4.62231895294809E-4,5.180248486911243E-4,1.9595601887629116E-4,7.216290076513702E-4,6.621788159593835E-8,3.3645815791950585E-4,2.231102279370354E-4,1.9191186900581114E-4,5.301791297280799E-4,6.046402911704607E-4,1.6878012959378646E-4,1.192938614599827E-7,0.0026052002657890845,7.20790280229566E-8,9.033075954474298E-4,9.482164862545079E-5
negat,7.702581158053807E-8,2.2203179180025975E-4,7.183312774602062E-4,7.216290076513702E-4,4.6359138905316443E-4,6.727817594871142E-8,0.0018956006922326535,4.7963581054375897E-4,1.0601462302101179E-7,7.564616066262107E-5,8.443223874231896E-5,0.0010737640470013042,3.3622806565666033E-4,4.3254624716576254E-4,6.253881752651577E-4,3.7900241373669196E-4
rca,2.3115446055319475E-4,1.1103439546618555E-4,6.536220423031236E-5,4.124036080007331E-4,2.6493774426534936E-4,3.3645815791950585E-4,5.57608320796159E-4,0.0030691512843852888,4.2416450670706816E-4,0.002418334452911625,5.061716929996565E-4,1.1941315532144267E-4,8.404441101305323E-4,2.1630916309689274E-4,6.948680303107257E-4,4.7372933544043903E-4
aspect,6.933093300364231E-4,4.440265844684081E-4,3.9184674084525933E-4,5.154787412176121E-4,3.3115562586128773E-4,6.734545412466013E-5,6.691076850825335E-4,9.600388849316189E-5,5.301791297280799E-4,8.313520613881062E-4,2.531280204452539E-4,7.158824626213562E-4,6.723720953059082E-4,7.215110705097954E-5,0.001737065855994246,2.842754920329449E-4
hassl,7.702581158053807E-8,2.2203179180025975E-4,6.536220423031236E-5,4.124036080007331E-4,5.298092706491027E-4,5.3829268576564E-4,1.1149936428637453E-7,1.9191186900581114E-4,1.0601462302101179E-7,3.779285209528152E-4,3.3747591129672146E-4,1.192938614599827E-7,3.3622806565666033E-4,0.0018741268076248945,3.474687550828857E-4,9.473639439591742E-4
sort,3.0818027213373283E-4,3.70028320245692E-4,5.877374628142274E-4,4.124036080007331E-4,2.6493774426534936E-4,6.727817594871142E-8,3.3460959222340994E-4,9.591757131070051E-4,2.1213526066504455E-4,8.313520613881062E-4,7.592153655540589E-4,1.192938614599827E-7,8.4036007412312E-8,4.3254624716576254E-4,9.727874504929977E-4,4.7372933544043903E-4
fan,2.3115446055319475E-4,1.4803352757754363E-4,3.2654983352226996E-4,8.247041408682492E-4,9.271165602247329E-4,9.419617414579086E-4,4.461089565097845E-4,3.837278300311097E-4,0.0011662668678541505,4.534991110253637E-4,3.3747591129672146E-4,0.002028114938681166,3.3622806565666033E-4,2.1630916309689274E-4,3.474687550828857E-4,4.7372933544043903E-4
wash,1.5412864897265669E-4,1.4803352757754363E-4,0.0031343168484108137,0.0011339295405188863,5.960271522450411E-4,6.727817594871142E-8,1.1161086365066089E-4,1.9191186900581114E-4,3.1814988368605634E-4,3.779285209528152E-4,8.43478908514675E-8,3.5800087824140807E-4,1.681560508320363E-4,7.215110705097954E-5,6.954933490061357E-5,1.8954857032919782E-4
claim,2.3115446055319475E-4,5.920231129138404E-4,6.529690732298938E-8,3.09328474783854E-4,5.960271522450411E-4,6.727817594871142E-8,4.461089565097845E-4,1.9191186900581114E-4,3.1814988368605634E-4,8.313520613881062E-4,0.0013496506015143316,0.0010737640470013042,8.4036007412312E-8,6.487833312346323E-4,2.0850904499174962E-4,2.842754920329449E-4
separ,7.702581158053807E-8,2.5903092391161783E-4,2.612529261992806E-4,4.124036080007331E-4,1.9871986266941098E-4,6.055708617143515E-4,1.1161086365066089E-4,0.0014387156156702515,2.1213526066504455E-4,9.824932415332032E-4,1.6878012959378646E-4,3.5800087824140807E-4,8.4036007412312E-8,3.6046721914280596E-4,9.727874504929977E-4,7.5791010055168E-4
retail,2.3115446055319475E-4,1.1103439546618555E-4,6.529690732298938E-8,6.185538744344912E-4,7.284629154369178E-4,0.0010765180933553315,0.001226604506514406,9.590798051264926E-8,1.0612063764403278E-4,7.564616066262107E-5,8.443223874231896E-5,2.3870701678142535E-4,8.4036007412312E-8,0.0017299687515789813,4.864284651740217E-4,2.842754920329449E-4
forward,2.3115446055319475E-4,4.8102571657976617E-4,6.529690732298938E-8,1.0317820835009592E-4,6.621788159593835E-8,6.055708617143515E-4,0.0011151051422280316,1.9191186900581114E-4,1.0601462302101179E-7,2.2678734080771812E-4,2.531280204452539E-4,0.0010737640470013042,5.043000804812843E-4,4.3254624716576254E-4,9.033075954474298E-4,8.526370222554272E-4
adapt,5.392577068753471E-4,7.400196413592727E-4,3.2654983352226996E-4,1.0317820835009592E-4,1.9871986266941098E-4,3.3645815791950585E-4,1.1161086365066089E-4,8.632677325943559E-4,3.1814988368605634E-4,0.0018893403224037857,2.531280204452539E-4,2.3870701678142535E-4,3.3622806565666033E-4,7.20790280229566E-8,9.033075954474298E-4,4.7372933544043903E-4
beat,0.0011554641995196516,1.850326596889017E-4,6.529690732298938E-8,5.154787412176121E-4,7.284629154369178E-4,6.727817594871142E-8,1.1149936428637453E-7,7.673597520817066E-4,1.0612063764403278E-4,3.779285209528152E-4,8.43478908514675E-8,2.3870701678142535E-4,5.043000804812843E-4,7.208623592575888E-4,6.954933490061357E-5,4.7372933544043903E-4
agre,7.71028373921186E-5,2.2203179180025975E-4,7.183312774602062E-4,1.0307513321687905E-7,3.3115562586128773E-4,0.0013456307971501773,0.001226604506514406,9.600388849316189E-5,3.1814988368605634E-4,3.779285209528152E-4,5.061716929996565E-4,5.965886011613735E-4,3.3622806565666033E-4,2.1630916309689274E-4,6.947985504556802E-8,4.7372933544043903E-4
