,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7
break,6.532453962855805E-4,5.786282035000895E-4,6.601271864532586E-4,1.245291106866514E-4,1.3840536545241608E-4,2.1950722128288183E-4,6.671651991422662E-4,2.4257302975896599E-4,1.220162154669707E-7,2.2016623678947553E-4,9.562068268753318E-4,5.665769812002947E-4,0.0014206511879696763,3.0183154722009223E-4,7.461487731876829E-4,7.401047413324217E-4
heard,4.7510375562957274E-4,2.1703077599097222E-4,1.886751178535881E-4,4.356963038067199E-4,8.300863522211121E-4,5.120859900704618E-4,5.003947456633846E-4,8.083073300865246E-8,1.2213823168243765E-4,3.3022184128308986E-4,3.1878872713342245E-4,6.29522985111004E-4,5.166826109505204E-4,6.035625174501078E-4,7.461487731876829E-4,4.6260015140650433E-4
spot,4.7510375562957274E-4,3.6166974699461917E-4,7.544176001731927E-4,4.356963038067199E-4,3.4590966148302497E-4,7.314469219689498E-8,5.003947456633846E-4,4.0423449577627095E-4,1.220162154669707E-7,5.508283004905397E-5,0.003107492913504276,2.518469616467481E-4,1.291383681455937E-7,1.0067756706674851E-4,8.704861791513028E-4,2.775970914558927E-4
experienc,2.3758156808822907E-4,3.6166974699461917E-4,9.42904137199341E-8,1.867625493106651E-4,4.150777601598946E-4,7.314469219689498E-8,8.346861196618028E-5,8.083073300865246E-8,3.6617066261637906E-4,4.953052480235114E-4,6.374977770043772E-4,6.924689890217133E-4,0.001937204660552051,2.0125455714342037E-4,0.0011191609910785425,4.6260015140650433E-4
flaw,5.938648494002446E-4,2.893502614927957E-4,4.7154635901339046E-4,7.468634969267883E-4,0.0014525992403129388,7.321783688909187E-5,7.505504258817071E-4,8.083073300865246E-8,2.441544471494084E-4,3.3022184128308986E-4,9.562068268753318E-4,3.7773896946816674E-4,1.2926750651373928E-4,1.0057699007667185E-7,3.731365552968232E-4,3.700986214311985E-4
automat,5.938054688533593E-8,6.50947689001913E-4,1.886751178535881E-4,1.867625493106651E-4,6.916809867686961E-8,7.314469219689498E-8,9.173208793605888E-4,0.0017783569569233626,1.220162154669707E-7,7.1541645701074E-4,2.3911146466568377E-4,1.889009577360387E-4,1.291383681455937E-7,6.035625174501078E-4,1.2433740596361988E-7,0.002035126160986703
singl,1.7820102120289313E-4,7.232671745037364E-4,9.438470413365402E-5,1.245291106866514E-4,6.923726677554648E-5,1.4636252908598686E-4,8.338522673944085E-8,2.4257302975896599E-4,6.102030935503205E-4,4.4027744577670416E-4,7.171750394721158E-4,2.518469616467481E-4,2.58405874659333E-4,0.0014081784380634826,8.704861791513028E-4,0.0012026123912089507
technic,6.532453962855805E-4,3.6166974699461917E-4,2.829655315735222E-4,3.734628651827062E-4,2.7674156280615536E-4,3.6579660567667184E-4,1.6685383870562113E-4,5.658959617935758E-4,3.6617066261637906E-4,5.503330502703185E-4,3.1878872713342245E-4,7.554149929324226E-4,9.040977153873016E-4,5.02985527373436E-4,4.974739612604432E-4,3.700986214311985E-4
spec,2.3758156808822907E-4,2.1703077599097222E-4,7.544176001731927E-4,4.356963038067199E-4,6.225820561905033E-4,5.120859900704618E-4,8.346861196618028E-5,6.467266948022283E-4,1.2213823168243765E-4,5.508283004905397E-5,9.562068268753318E-4,3.147929655574574E-4,9.040977153873016E-4,0.001106447467833467,1.2446174336958347E-4,9.259403150528109E-5
deep,0.0017220952402216274,1.4471129048914874E-4,0.001791612151092468,2.4899598793467884E-4,1.3840536545241608E-4,2.9265191347977685E-4,8.338522673944085E-8,4.8506522878492337E-4,1.2213823168243765E-4,1.1011063229586115E-4,7.171750394721158E-4,6.294600391070933E-8,7.749593472417078E-4,5.02985527373436E-4,2.4879914933320337E-4,1.8509556148058688E-4
