,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12
deep,1.3036584175072982E-7,2.1599573710813246E-7,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,2.63587155952092E-4,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1436778460794896E-7,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,2.5538733192001984E-7,6.403602410572092E-7,0.0014045542003003808,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
experi,6.519595745953999E-4,0.0021601733668184324,0.0030018656263328092,8.88995269455029E-4,2.989200951646912E-4,0.0012938796480837123,1.956288302902291E-7,2.6442987200800907E-7,2.513988298024899E-4,2.1107194788380322E-7,2.686207212412641E-7,0.0010294244292561486,0.0015356100775697286,4.167324756701162E-7,5.010960537559427E-4,3.8780417905539435E-7,4.049973681239963E-4,4.2839638948721244E-4,2.1539557073472075E-7,0.002554128706532118,6.403602410572092E-7,4.6802872385884066E-7,7.8857038049769E-4,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
grip,5.215937328446701E-4,0.0010801946812777706,2.731449406380458E-4,2.962330121476271E-7,2.989200951646912E-4,0.002420013302274088,1.9582445912051929E-4,2.6442987200800907E-7,5.025465119228594E-4,2.11283019831687E-4,2.6888934196250537E-4,0.0018299989215117914,0.001842701383953036,0.001667346635156135,5.00595458297645E-7,3.8780417905539435E-7,8.09590143472644E-4,0.005564017442280969,2.1539557073472075E-7,0.0012771920469320192,6.403602410572092E-7,0.005148783991171106,0.005781185252025885,4.671541576019295E-7,7.59790417831571E-4,4.352327907866441E-7
jpeg,5.215937328446701E-4,2.1599573710813246E-7,0.0016375052834854277,2.962330121476271E-7,2.986214736910002E-7,0.0013897208101424678,9.783397802814358E-4,2.6442987200800907E-7,7.53694194043229E-4,2.1107194788380322E-7,2.686207212412641E-7,1.1436778460794896E-7,1.535456531916537E-7,0.0020840791108262514,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1561096630545544E-4,7.664173830919795E-4,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,0.0026583171990199046,4.352327907866441E-7
samsung,1.3049620759248055E-4,8.64198944169638E-4,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,5.511106421283581E-4,0.002543370422603268,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.6888934196250537E-4,1.1448215239255689E-4,4.6079050522815276E-4,8.338816838159025E-4,0.0010016915120535875,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,0.0012771920469320192,0.0044831620476415215,9.365254764415401E-4,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
android,1.3036584175072982E-7,2.1599573710813246E-7,2.7287206856947636E-7,8.88995269455029E-4,2.989200951646912E-4,2.8754744646678084E-4,0.003521514574054414,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1436778460794896E-7,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,2.5538733192001984E-7,6.403602410572092E-7,0.002340611648018062,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.356680235774307E-4
predecessor,1.3036584175072982E-7,0.001296190418385903,2.7287206856947636E-7,2.962330121476271E-7,2.986214736910002E-7,3.594283180108474E-4,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1448215239255689E-4,6.143361584198065E-4,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,4.045927753486477E-7,4.2796842106614637E-7,2.1539557073472075E-7,2.5538733192001984E-7,6.410006012982662E-4,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
wonder,7.823254163461297E-4,2.1599573710813246E-7,0.0013646332149159514,0.0011852282816026563,2.986214736910002E-7,6.709120947018024E-4,7.827109499912066E-4,0.0021157034059360804,2.5114768212036955E-7,0.0014777147071345065,0.001343372226927562,1.1436778460794896E-7,0.0026104296499113045,4.167324756701162E-7,0.0010016915120535875,3.8819198323444967E-4,4.049973681239963E-4,4.2796842106614637E-7,2.1539557073472075E-7,0.0012771920469320192,0.003202441565527103,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,3.797053562376667E-7,4.352327907866441E-7
tripod,0.0014341546250997788,0.0015121861554940354,2.7287206856947636E-7,2.965292451597747E-4,0.0026878918846926928,0.0016293237152893562,1.9582445912051929E-4,2.6442987200800907E-7,2.513988298024899E-4,8.444988634830968E-4,0.002417855111892618,1.1436778460794896E-7,1.535456531916537E-7,4.167324756701162E-7,5.00595458297645E-7,3.8780417905539435E-7,0.005664703447656416,8.563648105533588E-4,4.310065370401762E-4,2.5538733192001984E-7,6.410006012982662E-4,4.6849675258269944E-4,0.0028907240106148245,4.671541576019295E-7,3.800850615939043E-4,0.002611831977510651
exact,1.3036584175072982E-7,2.1599573710813246E-7,2.7287206856947636E-7,5.927622573074019E-4,2.986214736910002E-7,7.42792966245869E-4,1.956288302902291E-7,2.6442987200800907E-7,2.5114768212036955E-7,2.1107194788380322E-7,2.686207212412641E-7,1.1436778460794896E-7,9.214274648031139E-4,4.167324756701162E-7,5.00595458297645E-7,7.75996162289844E-4,8.09590143472644E-4,4.2796842106614637E-7,2.1539557073472075E-7,0.0020433540426920784,6.403602410572092E-7,4.6802872385884066E-7,2.627692037646418E-7,4.671541576019295E-7,0.002278611842782238,0.0047879959314438714
