,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12
vibrant,1.8845719806619945E-5,1.651661596340843E-7,1.3013193165627107E-7,1.2024276051405705E-7,1.0762514463474124E-7,1.3467090269502065E-7,1.1212636551692665E-7,1.4971160305345797E-7,3.3114653559096827E-4,3.435324674819128E-4,8.864848208533853E-8,3.1703248463842874E-8,1.507270545567125E-7,2.9563853340818903E-7,2.694837998777227E-4,2.7074524523968943E-7,3.189274851387765E-7,1.4951015241214446E-7,2.226423235487227E-7,3.008868036764757E-7,3.2399063148689994E-7,3.332767873717426E-7,2.559830273013578E-7,1.8784602411679966E-7,9.092141489360059E-8,2.159123516763111E-7
stand,4.14210470994451E-4,1.651661596340843E-7,0.002472636833400807,2.4060576378862812E-4,1.0762514463474124E-7,1.3467090269502065E-7,1.1212636551692665E-7,1.4971160305345797E-7,4.5531096588379477E-4,2.2904072694469806E-4,8.864848208533853E-8,4.7558043020610693E-4,1.5087778161126917E-4,2.9563853340818903E-7,2.692145852924303E-7,2.7074524523968943E-7,3.189274851387765E-7,1.4951015241214446E-7,2.226423235487227E-7,3.008868036764757E-7,9.722958850921866E-4,3.332767873717426E-7,2.559830273013578E-7,1.8784602411679966E-7,6.365408256700977E-4,2.159123516763111E-7
easili,5.836525072178072E-4,0.0011563282835982242,9.110536535255539E-4,9.620623268729703E-4,6.458584929530822E-4,1.3467090269502065E-7,4.486175884332236E-4,0.002096112154351465,0.0022350011334143077,0.0015456957431226675,6.20628023079455E-4,0.002060742853398251,0.0012059671635082565,0.0011828497721661643,2.692145852924303E-7,2.7074524523968943E-7,3.1924641262391526E-4,0.002242801796334579,0.0031172151720056667,0.0018056217088625306,0.003564220936987386,0.0010001636389025995,0.0025600862560408795,1.8784602411679966E-7,9.093050703508994E-4,2.159123516763111E-7
curv,2.447684347710948E-4,1.6533132579371834E-4,1.3013193165627107E-7,1.2024276051405705E-7,1.0762514463474124E-7,1.3467090269502065E-7,1.1212636551692665E-7,1.4971160305345797E-7,1.6559396186719962E-4,1.7179485667609068E-4,8.864848208533853E-8,6.340966725253214E-4,1.507270545567125E-7,2.9563853340818903E-7,2.694837998777227E-4,2.7074524523968943E-7,3.189274851387765E-7,1.4951015241214446E-7,2.226423235487227E-7,0.0036109425309213843,3.2399063148689994E-7,3.332767873717426E-7,2.559830273013578E-7,1.8784602411679966E-7,5.456194107764971E-4,2.159123516763111E-7
skin,5.649950563403243E-5,1.651661596340843E-7,1.3013193165627107E-7,2.4060576378862812E-4,1.0762514463474124E-7,1.3467090269502065E-7,1.1212636551692665E-7,1.4971160305345797E-7,4.5531096588379477E-4,0.0011449746512424159,8.864848208533853E-8,3.1703248463842874E-8,1.507270545567125E-7,2.9563853340818903E-7,2.692145852924303E-7,2.7074524523968943E-7,3.189274851387765E-7,1.4951015241214446E-7,2.226423235487227E-7,3.008868036764757E-7,3.243146221183868E-4,3.332767873717426E-7,2.559830273013578E-7,1.8784602411679966E-7,9.092141489360059E-8,6.479529673806096E-4
wet,3.7672612720326185E-5,1.651661596340843E-7,3.905259269004695E-4,0.0018037616504713696,1.0762514463474124E-7,1.3467090269502065E-7,1.1223849188244357E-4,1.4971160305345797E-7,8.281767500531528E-5,5.724587026860736E-8,8.864848208533853E-8,1.2684469710383536E-4,1.507270545567125E-7,2.9593417194159717E-4,2.692145852924303E-7,2.7074524523968943E-7,3.189274851387765E-7,1.4951015241214446E-7,2.228649658722714E-4,3.0118769048015213E-4,3.2399063148689994E-7,3.332767873717426E-7,2.559830273013578E-7,1.8784602411679966E-7,1.8193375120209476E-4,2.159123516763111E-7
sum,1.506339702025636E-4,1.651661596340843E-7,1.3013193165627107E-7,1.2024276051405705E-7,1.0762514463474124E-7,1.3467090269502065E-7,1.1212636551692665E-7,1.4971160305345797E-7,1.2420581843625744E-4,1.1454898640748332E-4,8.864848208533853E-8,1.5854794556767823E-4,1.507270545567125E-7,2.9563853340818903E-7,2.692145852924303E-7,2.7074524523968943E-7,3.189274851387765E-7,1.4951015241214446E-7,2.226423235487227E-7,3.008868036764757E-7,3.2399063148689994E-7,3.332767873717426E-7,2.559830273013578E-7,1.8784602411679966E-7,9.092141489360059E-8,2.159123516763111E-7
shadow,1.6946086311626986E-4,1.6533132579371834E-4,2.603939952441984E-4,1.2024276051405705E-7,1.0762514463474124E-7,1.3467090269502065E-7,1.1212636551692665E-7,1.4986131465651143E-4,4.5531096588379477E-4,0.0015456957431226675,8.864848208533853E-8,1.902511940315211E-4,1.5087778161126917E-4,2.9563853340818903E-7,0.004576917164556608,2.7074524523968943E-7,6.381738977626918E-4,1.4951015241214446E-7,2.226423235487227E-7,3.0118769048015213E-4,9.722958850921866E-4,3.332767873717426E-7,2.559830273013578E-7,1.8784602411679966E-7,2.728551660956953E-4,6.479529673806096E-4
forum,9.415329146144491E-5,1.6533132579371834E-4,1.3013193165627107E-7,1.2024276051405705E-7,1.0762514463474124E-7,1.3467090269502065E-7,1.1212636551692665E-7,1.4971160305345797E-7,4.138814343094217E-8,5.724587026860736E-8,8.864848208533853E-8,1.2684469710383536E-4,1.507270545567125E-7,2.9563853340818903E-7,2.694837998777227E-4,2.7074524523968943E-7,3.189274851387765E-7,1.4951015241214446E-7,2.226423235487227E-7,3.008868036764757E-7,3.2399063148689994E-7,3.332767873717426E-7,2.559830273013578E-7,1.8784602411679966E-7,7.274622405636982E-4,8.638653190569209E-4
rule,5.649950563403243E-5,1.651661596340843E-7,1.3013193165627107E-7,1.2024276051405705E-7,1.0762514463474124E-7,1.3480557359771565E-4,1.1212636551692665E-7,1.4971160305345797E-7,4.138814343094217E-8,5.724587026860736E-8,8.864848208533853E-8,1.902511940315211E-4,4.5233189072469413E-4,2.9563853340818903E-7,2.692145852924303E-7,2.7074524523968943E-7,3.189274851387765E-7,1.4951015241214446E-7,2.226423235487227E-7,3.008868036764757E-7,0.0016202771480659866,3.332767873717426E-7,2.559830273013578E-7,1.8784602411679966E-7,9.092141489360059E-8,2.159123516763111E-7
