,S0-T0,S0-T1,S0-T2,S0-T3,S0-T4,S0-T5,S0-T6,S0-T7,S0-T8,S0-T9,S0-T10,S0-T11,S0-T12,S1-T0,S1-T1,S1-T2,S1-T3,S1-T4,S1-T5,S1-T6,S1-T7,S1-T8,S1-T9,S1-T10,S1-T11,S1-T12
thinner,3.015163619662919E-8,1.0598541234148775E-4,2.4778050090047964E-4,2.262919778407654E-8,9.709967164775035E-8,8.075133627311265E-8,7.874824312669585E-8,1.2984153100823506E-7,1.2914573030425609E-4,9.249242672010017E-8,8.828699913902518E-8,1.5312666196583253E-4,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,2.228761904931715E-7,2.1868458597322075E-7,1.1142314543974036E-7,1.8427079256342046E-7,3.0004836779688886E-7,2.788003555262134E-7,2.7841224835708936E-7,1.44910818983781E-7,9.845624545378286E-8,1.227325770061008E-7,2.3226157340161803E-4
20mp,1.2063669642271339E-4,1.0587953280867907E-7,1.2382833628209878E-7,2.262919778407654E-8,9.709967164775035E-8,8.075133627311265E-8,7.874824312669585E-8,1.2984153100823506E-7,2.5823981264598294E-8,9.249242672010017E-8,8.828699913902518E-8,3.827209746709136E-8,5.126761510558607E-4,9.316137784281804E-5,2.721980207937512E-7,2.228761904931715E-7,2.1868458597322075E-7,1.1142314543974036E-7,1.8427079256342046E-7,3.0004836779688886E-7,2.788003555262134E-7,2.7841224835708936E-7,1.44910818983781E-7,9.845624545378286E-8,1.227325770061008E-7,2.320295438577603E-7
coat,3.015163619662919E-8,1.0587953280867907E-7,1.2382833628209878E-7,2.262919778407654E-8,9.709967164775035E-8,8.075133627311265E-8,7.874824312669585E-8,1.2984153100823506E-7,1.8079369283345267E-4,9.249242672010017E-8,8.828699913902518E-8,5.35847636636746E-4,1.0251472726571899E-7,9.306830953328476E-8,8.168662604020473E-4,2.228761904931715E-7,2.1868458597322075E-7,1.1142314543974036E-7,1.8427079256342046E-7,3.0004836779688886E-7,5.578795114079529E-4,2.7841224835708936E-7,1.44910818983781E-7,9.845624545378286E-8,1.227325770061008E-7,2.320295438577603E-7
environ,3.6184978599574687E-4,1.0587953280867907E-7,1.2382833628209878E-7,2.262919778407654E-8,9.709967164775035E-8,1.615834238824984E-4,6.300646932566934E-4,1.2984153100823506E-7,2.5826563662724754E-4,9.249242672010017E-8,3.5323628355523977E-4,3.4448714930128925E-4,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,2.228761904931715E-7,2.1890327055919395E-4,4.458040049044012E-4,7.372674410462453E-4,3.0004836779688886E-7,2.788003555262134E-7,2.7841224835708936E-7,4.3487736777032674E-4,1.970109471530195E-4,1.2285530958310687E-4,2.320295438577603E-7
san,3.015163619662919E-8,1.0587953280867907E-7,2.4778050090047964E-4,6.791022255001369E-5,9.709967164775035E-8,8.075133627311265E-8,7.874824312669585E-8,1.2984153100823506E-7,5.167378651046118E-5,9.249242672010017E-8,8.828699913902518E-8,3.827209746709136E-8,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,2.228761904931715E-7,6.562724425056354E-4,1.1142314543974036E-7,3.6872585591940434E-4,3.0004836779688886E-7,2.788003555262134E-7,2.7841224835708936E-7,1.44910818983781E-7,9.845624545378286E-8,1.227325770061008E-7,2.320295438577603E-7
distract,3.015163619662919E-8,1.0587953280867907E-7,1.2382833628209878E-7,2.262919778407654E-8,9.709967164775035E-8,8.075133627311265E-8,7.874824312669585E-8,1.2984153100823506E-7,1.8079369283345267E-4,9.249242672010017E-8,8.828699913902518E-8,2.2967085690001523E-4,1.0251472726571899E-7,4.654346159759571E-4,2.721980207937512E-7,2.228761904931715E-7,2.1868458597322075E-7,1.1142314543974036E-7,1.8427079256342046E-7,3.0004836779688886E-7,2.788003555262134E-7,2.7841224835708936E-7,1.44910818983781E-7,9.845624545378286E-8,1.227325770061008E-7,2.320295438577603E-7
speedlight,1.2063669642271339E-4,1.0587953280867907E-7,1.2382833628209878E-7,2.262919778407654E-8,9.719677131939809E-5,8.075133627311265E-8,5.513164501299977E-4,1.2984153100823506E-7,2.5823981264598294E-8,9.249242672010017E-8,8.828699913902518E-8,3.827209746709136E-8,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,2.228761904931715E-7,2.1868458597322075E-7,1.1142314543974036E-7,1.8427079256342046E-7,3.0004836779688886E-7,2.788003555262134E-7,2.7841224835708936E-7,1.4505572980276477E-4,9.845624545378286E-8,1.227325770061008E-7,2.320295438577603E-7
site,2.7139487740585934E-4,1.0598541234148775E-4,1.2382833628209878E-7,4.299773870952383E-4,2.913961146148988E-4,0.0012921021317060756,7.874824312669585E-8,2.5981290354747837E-4,6.714493368608202E-4,9.249242672010017E-8,4.41523282694265E-4,3.827209746709136E-8,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,2.228761904931715E-7,2.1868458597322075E-7,6.686502957838819E-4,1.8427079256342046E-7,9.004451517584635E-4,2.788003555262134E-7,0.001392339654033804,0.0027534504715108227,9.845624545378286E-8,2.4558788658920767E-4,2.3226157340161803E-4
onehand,3.015163619662919E-8,1.0587953280867907E-7,9.907505185930722E-4,2.262919778407654E-8,9.709967164775035E-8,8.075133627311265E-8,7.874824312669585E-8,1.2984153100823506E-7,2.5823981264598294E-8,9.249242672010017E-8,8.828699913902518E-8,2.679429543671066E-4,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,2.228761904931715E-7,2.1868458597322075E-7,1.1142314543974036E-7,1.8427079256342046E-7,3.0004836779688886E-7,2.788003555262134E-7,2.7841224835708936E-7,1.44910818983781E-7,9.845624545378286E-8,1.227325770061008E-7,2.320295438577603E-7
fulli,2.7139487740585934E-4,1.0598541234148775E-4,1.2382833628209878E-7,3.3946059595893214E-4,1.9429644296714845E-4,1.615834238824984E-4,3.150717207499101E-4,2.5981290354747837E-4,0.0010846330370943929,9.249242672010017E-8,8.828699913902518E-8,0.0010716570011760252,7.177056055872987E-4,0.0018614592589752286,2.721980207937512E-7,0.003789118114574409,2.1890327055919395E-4,3.343808594646608E-4,1.8445506335598388E-4,3.0004836779688886E-7,2.788003555262134E-7,2.7841224835708936E-7,1.44910818983781E-7,1.970109471530195E-4,3.6832046359530846E-4,2.320295438577603E-7
powershot,3.015163619662919E-8,1.0587953280867907E-7,1.2382833628209878E-7,4.299773870952383E-4,9.709967164775035E-8,0.0015343561405254135,7.874824312669585E-8,1.2984153100823506E-7,1.5496971156885438E-4,0.002404895587149324,8.828699913902518E-8,3.827209746709136E-8,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,2.228761904931715E-7,2.1868458597322075E-7,3.343808594646608E-4,1.8427079256342046E-7,3.0034841616468575E-4,2.788003555262134E-7,2.7841224835708936E-7,1.44910818983781E-7,9.845624545378286E-8,2.4558788658920767E-4,4.6429111725937834E-4
regular,3.9200142219237606E-4,1.0598541234148775E-4,1.2382833628209878E-7,2.715730026067025E-4,2.913961146148988E-4,8.075133627311265E-8,2.363234776232142E-4,1.2984153100823506E-7,9.038651682422048E-4,3.7006219930712077E-4,0.0012361062749454916,1.1485456449874115E-4,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,2.228761904931715E-7,0.00196837995834496,0.0012257660229825836,3.6872585591940434E-4,3.0004836779688886E-7,8.366798669341663E-4,2.7841224835708936E-7,0.0011594314626892316,8.862046653294995E-4,1.2285530958310687E-4,0.002552557011979221
consist,7.538210565519263E-4,1.0587953280867907E-7,1.2382833628209878E-7,1.8105621147039637E-4,1.9429644296714845E-4,8.075133627311265E-8,7.874824312669585E-8,1.299713725392433E-4,3.099135991564441E-4,9.258491914682025E-5,1.766622852771894E-4,7.65824670316498E-5,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,2.228761904931715E-7,2.1868458597322075E-7,1.1142314543974036E-7,3.6872585591940434E-4,3.0004836779688886E-7,2.788003555262134E-7,2.7841224835708936E-7,1.44910818983781E-7,4.923796835143681E-4,1.227325770061008E-7,0.003712704731268023
offer,9.347308737317015E-4,0.0012706602732369574,9.907505185930722E-4,0.0017877292541398308,0.001165293159444652,0.0022611181669834274,5.513164501299977E-4,0.001558228213629829,0.001007161093300598,0.004162251694831227,4.41523282694265E-4,0.0011864732935772991,4.1016142379014174E-4,9.306830953328476E-8,0.00136126230198955,2.228761904931715E-7,2.1868458597322075E-7,4.458040049044012E-4,0.0012900798187365067,0.0012004935195553525,0.0013942805779865932,2.7841224835708936E-7,0.0011594314626892316,3.9392343806058527E-4,0.001718378810662417,2.3226157340161803E-4
age,3.015163619662919E-8,1.0587953280867907E-7,1.2382833628209878E-7,9.053942033409023E-5,9.709967164775035E-8,8.075133627311265E-8,8.663094226367809E-4,1.2984153100823506E-7,2.0661767409805093E-4,9.249242672010017E-8,2.649492844162146E-4,1.1485456449874115E-4,1.026172419929847E-4,9.306830953328476E-8,2.721980207937512E-7,2.228761904931715E-7,2.1868458597322075E-7,1.1142314543974036E-7,1.8427079256342046E-7,3.0004836779688886E-7,2.788003555262134E-7,2.7841224835708936E-7,2.899665487865458E-4,9.845624545378286E-8,1.227325770061008E-7,2.3226157340161803E-4
2nd,3.015163619662919E-8,1.0587953280867907E-7,1.2382833628209878E-7,1.8105621147039637E-4,4.8559545791039956E-4,8.075133627311265E-8,3.150717207499101E-4,1.2984153100823506E-7,1.8079369283345267E-4,9.258491914682025E-5,8.828699913902518E-8,3.8310369564558444E-5,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,0.001783232400135865,2.1868458597322075E-7,1.1142314543974036E-7,1.8427079256342046E-7,3.0004836779688886E-7,5.578795114079529E-4,2.7841224835708936E-7,7.246990057378888E-4,9.845624545378286E-8,0.0014729136566502155,2.320295438577603E-7
static,1.5078833261934258E-4,1.0587953280867907E-7,1.2382833628209878E-7,2.262919778407654E-8,9.709967164775035E-8,1.615834238824984E-4,7.874824312669585E-8,1.2984153100823506E-7,1.0332174903965778E-4,9.249242672010017E-8,8.828699913902518E-8,1.1485456449874115E-4,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,2.228761904931715E-7,2.1868458597322075E-7,1.1142314543974036E-7,1.8427079256342046E-7,3.0004836779688886E-7,2.788003555262134E-7,0.0016707519023908932,1.44910818983781E-7,9.845624545378286E-8,1.227325770061008E-7,2.320295438577603E-7
search,3.015163619662919E-8,1.0587953280867907E-7,1.2382833628209878E-7,3.168313981748556E-4,9.709967164775035E-8,7.268427777942869E-4,7.874824312669585E-8,1.299713725392433E-4,2.3244165536264922E-4,9.249242672010017E-8,8.828699913902518E-8,4.5930344170256335E-4,1.0251472726571899E-7,1.862296873761028E-4,2.721980207937512E-7,4.459752571768362E-4,2.1868458597322075E-7,6.686502957838819E-4,0.0011058090261730864,6.003967839615746E-4,2.788003555262134E-7,2.7841224835708936E-7,0.0030432721094783848,3.9392343806058527E-4,9.819833486258123E-4,2.320295438577603E-7
reduct,0.0020201897768103525,1.0587953280867907E-7,2.4778050090047964E-4,1.8105621147039637E-4,9.709967164775035E-8,8.075133627311265E-8,2.363234776232142E-4,1.2984153100823506E-7,1.0332174903965778E-4,1.850773458669204E-4,2.649492844162146E-4,4.21031344235472E-4,1.0251472726571899E-7,9.316137784281804E-5,5.446682396082962E-4,4.459752571768362E-4,8.749570284788563E-4,1.1142314543974036E-7,5.529966484828248E-4,3.0034841616468575E-4,2.788003555262134E-7,2.7841224835708936E-7,1.44910818983781E-7,1.970109471530195E-4,1.2285530958310687E-4,2.320295438577603E-7
damag,3.015163619662919E-8,2.1186494515016682E-4,1.2382833628209878E-7,6.791022255001369E-5,9.709967164775035E-8,0.0013728534679791882,3.938199638766059E-4,1.2984153100823506E-7,4.906814680086323E-4,9.249242672010017E-8,8.828699913902518E-8,2.2967085690001523E-4,1.0251472726571899E-7,9.306830953328476E-8,5.446682396082962E-4,2.228761904931715E-7,2.1868458597322075E-7,4.458040049044012E-4,1.8427079256342046E-7,3.0004836779688886E-7,0.0016730809335128065,8.355151573196251E-4,5.797881867541079E-4,9.845624545378286E-8,1.227325770061008E-7,2.3226157340161803E-4
newspap,3.015163619662919E-8,1.0598541234148775E-4,1.2382833628209878E-7,2.262919778407654E-8,9.709967164775035E-8,8.075133627311265E-8,7.874824312669585E-8,1.2984153100823506E-7,7.749776777505948E-5,9.249242672010017E-8,8.828699913902518E-8,3.827209746709136E-8,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,2.228761904931715E-7,2.1868458597322075E-7,4.458040049044012E-4,1.8427079256342046E-7,3.0004836779688886E-7,2.788003555262134E-7,2.7841224835708936E-7,1.44910818983781E-7,9.845624545378286E-8,1.2285530958310687E-4,2.320295438577603E-7
freakin,3.015163619662919E-8,1.0587953280867907E-7,1.2382833628209878E-7,2.262919778407654E-8,9.709967164775035E-8,8.075133627311265E-8,7.874824312669585E-8,1.2984153100823506E-7,2.5823981264598294E-8,4.6255462602722095E-4,8.828699913902518E-8,1.1485456449874115E-4,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,2.228761904931715E-7,2.1868458597322075E-7,1.1142314543974036E-7,1.8427079256342046E-7,3.0004836779688886E-7,2.788003555262134E-7,2.7841224835708936E-7,1.44910818983781E-7,9.845624545378286E-8,1.227325770061008E-7,2.320295438577603E-7
learn,4.5230469458563445E-4,0.009952781963548643,9.907505185930722E-4,0.0016066956718672183,2.913961146148988E-4,0.0015343561405254135,0.004567476849591486,0.0027268019927039447,0.001007161093300598,3.7006219930712077E-4,0.0036198552516991714,0.0024877246074584054,3.076466965244227E-4,0.0017683909494419438,5.446682396082962E-4,4.459752571768362E-4,6.562724425056354E-4,4.458040049044012E-4,1.8427079256342046E-7,0.013202428231430906,0.0011154802224603798,8.355151573196251E-4,1.4505572980276477E-4,0.0012800296471446309,0.002332041695692921,0.0011603797488326593
fool,3.015163619662919E-8,1.0587953280867907E-7,2.4778050090047964E-4,1.1316861811816677E-4,9.709967164775035E-8,8.075133627311265E-8,4.725682070033018E-4,1.2984153100823506E-7,5.167378651046118E-5,9.249242672010017E-8,8.828699913902518E-8,7.65824670316498E-5,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,2.2309906668366465E-4,2.1868458597322075E-7,1.1153456858518008E-4,1.8427079256342046E-7,3.0004836779688886E-7,2.788003555262134E-7,2.7841224835708936E-7,1.44910818983781E-7,2.9546719260680236E-4,4.910530406014093E-4,2.320295438577603E-7
crap,3.015163619662919E-8,1.0587953280867907E-7,1.2382833628209878E-7,2.262919778407654E-8,9.709967164775035E-8,4.038374327018364E-4,2.363234776232142E-4,1.2984153100823506E-7,3.615615616856407E-4,9.249242672010017E-8,8.828699913902518E-8,3.827209746709136E-8,1.0251472726571899E-7,9.306830953328476E-8,2.721980207937512E-7,6.688514476700077E-4,2.1868458597322075E-7,1.1142314543974036E-7,1.8427079256342046E-7,3.0004836779688886E-7,2.788003555262134E-7,2.7841224835708936E-7,1.44910818983781E-7,9.845624545378286E-8,6.137856176075101E-4,2.320295438577603E-7
